闍ｱ隱槫錐,驕ｸ謇句錐,繝昴ず繧ｷ繝ｧ繝ｳ,謇螻槭メ繝ｼ繝,霄ｫ髟ｷ,菴馴㍾,逕溷ｹｴ譛域律,蟷ｴ鮨｢,鬮俶｡,螟ｧ蟄ｦ,蜃ｺ霄ｫ譬｡繝ｻ繝√ｼ繝豁ｴ(蜈ｨ譁),繧ｫ繝ざ繝ｪ,繝ｪ繝ｼ繧ｰ繝ｯ繝ｳ繧ｭ繝｣繝謨ｰ,URL,Text_Detail,繧ｭ繝｣繝ｪ繧｢驕肴ｭｴ,莉｣陦ｨ繧ｭ繝｣繝謨ｰ,International_Caps,Scraped_Url
Shinichi Tanaka,逕ｰ荳ｭ 逵滉ｸ,FL,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,186,98,1994.06.08,31,蝨句ｭｸ髯｢荵⒧螻ｱ鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,蝨句ｭｸ髯｢荵⒧螻ｱ 譏取ｲｻ,A,6,https://league-one.jp/player/483678,,,'12 鬮俶｡,,
Rahboni Warren-Vosayaco,繝ｩ繝ｼ繝懊ル 繝ｻ繧ｦ繧ｩ繝ｼ繝ｬ繝ｳ繝ｼ繝懊せ繧｢繝､繧ｳ,,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,188,103,1995.09.28,30,繧ｨ繝ｳ繝ヰ繝ｼ繧ｹ繝昴ｼ繝ｫ俶｡,,Endeavorsportshighschool,B,2,https://league-one.jp/player/483679,,,,,
Jude Gibbs,繧ｸ繝･繝ｼ繝 繝ｻ繧ｮ繝悶せ,SO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,178,87,2001.07.02,24,繧ｻ繝ｳ繝医ず繝ｧ繧ｻ繝輔ｻ繧ｫ繝ｬ繝ず,UniversityofTechnologySydney螟ｧ蟄ｦ,SaintJoseph窶冱CollegeHuntersHill UniversityofTechnologySydney,B,0,https://league-one.jp/player/483680,,,,,
Pepesana Patafilo,繝壹繧ｵ繝 繝ｻ繝代ち繝輔ぅ繝ｭ,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,181,96,1996.05.29,29,繧ｦ繧ｨ繝ｪ繝ｳ繝医Φ繧ｫ繝ｬ繝ず,,繧ｦ繧ｨ繝ｪ繝ｳ繝医Φ繧ｫ繝ｬ繝ず,B,3,https://league-one.jp/player/483681,,,,,
Hiroto Nishi,隘ｿ 豬ｩ譁,WTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,170,75,2002.11.16,23,辭頑悽隘ｿ鬮俶｡,莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,辭頑悽隘ｿ 莠ｬ驛ｽ逕｣讌ｭ,A,0,https://league-one.jp/player/483682,,,,,
Kouga Yoshida,蜷臥伐 霈晞寉,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,177,82,2002.11.21,23,譚ｱ豬ｷ螟ｧ逶ｸ讓｡蜴滄ｫ俶｡,譏取ｲｻ螟ｧ蟄ｦ,譚ｱ豬ｷ螟ｧ逶ｸ讓｡蜴 譏取ｲｻ,A,0,https://league-one.jp/player/483683,,,,,
Kanta Fujita,阯､逕ｰ 蟷ｹ螟ｪ,HO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,175,96,2003.03.26,22,遲醍ｴｫ鬮俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,遲醍ｴｫ 譌･譛ｬ菴楢ご,A,0,https://league-one.jp/player/483684,,,,,
Kohei Kire,蝟憺｣ 闊ｪ蟷ｳ,SO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,176,85,1995.06.25,30,螟ｧ髦ｪ譯占発鬮俶｡,霑醍柄螟ｧ蟄ｦ,螟ｧ髦ｪ譯占発 霑醍柄,A,11,https://league-one.jp/player/483685,,,,,
Hiroki Murakawa,譚大ｷ 豬ｩ蝟,HO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,175,98,1992.01.19,33,譚ｱ遖丞ｲ｡鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡ 遲第ｳ｢,A,32,https://league-one.jp/player/483686,,,'11 U20,,
Sione Likuata Teaupa,繧ｷ繧ｪ繝 繝ｻ繝ｪ繧ｯ繧｢繧ｿ繝い繧ｦ繝,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,180,99,1998.06.27,27,繝医ぇ繝昴え繧ｫ繝ｬ繝ず,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,繝医ぇ繝昴え繧ｫ繝ｬ繝ず 豬夂ｵ梧ｸ亥､ｧ蟄ｦ,A,28,https://league-one.jp/player/483687,,,,,
