英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Shinichi Tanaka,田中 真一,FL,九州電力キューデンヴォルテクス（2025-26）,186,98,1994.06.08,31,國學院久我山高校,明治大学,國學院久我山 明治,A,6,https://league-one.jp/player/483678,,,'12 高校,,,25/26 Japan Rugby League One - Division 2 (5G) -> 22/23 Japan Rugby League One - Division 1 (1G) -> 21/22 Japan Rugby League One - Division 1 (4G)
Rahboni Warren-Vosayaco,ラーボニ ・ウォーレンーボスアヤコ,No8,九州電力キューデンヴォルテクス（2025-26）,188,103,1995.09.28,30,エンデバースポーツ,,Endeavorsportshighschool,B,2,https://league-one.jp/player/483679,,,,,,25/26 Japan Rugby League One - Division 2 (5G) -> 24/25 Pro D2 (21G/1T) -> 23/24 Pro D2 (16G/5T) -> 22/23 Super Rugby Pacific (9G) -> 21/22 Super Rugby Pacific (7G/1T) -> 20/21 Super Rugby Trans-Tasman (2G) -> 18/19 Super Rugby (12G/3T) -> 17/18 Super Rugby (5G/1T) -> 16/17 Super Rugby (7G/2T)
Jude Gibbs,ジュード ・ギブス,SO,九州電力キューデンヴォルテクス（2025-26）,178,87,2001.07.02,24,セントジョセフ・カレッジ,UniversityofTechnologySydney,SaintJoseph’sCollegeHuntersHill UniversityofTechnologySydney,B,0,https://league-one.jp/player/483680,,,,,,25/26 Japan Rugby League One - Division 2 (2G/2T) -> 24/25 Super Rugby Pacific (1G)
Pepesana Patafilo,ペペサナ ・パタフィロ,CTB,九州電力キューデンヴォルテクス（2025-26）,181,96,1996.05.29,29,ウエリントンカレッジ,,ウエリントンカレッジ,B,3,https://league-one.jp/player/483681,,,,,,25/26 Japan Rugby League One - Division 2 (6G) -> 24/25 Super Rugby Pacific (9G/2T) -> 23/24 Super Rugby Pacific (9G/1T) -> 22/23 Super Rugby Pacific (5G) -> 21/22 Wellington (10G/4T) -> 20/21 Super Rugby Aotearoa (1G) -> Super Rugby Trans-Tasman 1 0 0 (1G) -> 19/20 Wellington (9G/2T)
Hiroto Nishi,西 浩斗,WTB,九州電力キューデンヴォルテクス（2025-26）,170,75,2002.11.16,23,熊本西高校,京都産業大学,熊本西 京都産業,A,0,https://league-one.jp/player/483682,,,,,,No Data
Kouga Yoshida,吉田 輝雅,CTB,九州電力キューデンヴォルテクス（2025-26）,177,82,2002.11.21,23,東海大相模原高校,明治大学,東海大相模原 明治,A,0,https://league-one.jp/player/483683,,,,,,No Data
Kanta Fujita,藤田 幹太,HO,九州電力キューデンヴォルテクス（2025-26）,175,96,2003.03.26,22,筑紫高校,日本体育大学,筑紫 日本体育,A,0,https://league-one.jp/player/483684,,,,,,No Data
Kohei Kire,喜連 航平,SO,九州電力キューデンヴォルテクス（2025-26）,176,85,1995.06.25,30,大阪桐蔭高校,近畿大学,大阪桐蔭 近畿,A,11,https://league-one.jp/player/483685,,,,,,25/26 Japan Rugby League One - Division 2 (6G/1T) -> 24/25 Japan Rugby League One - Division 2 (8G)
Hiroki Murakawa,村川 浩喜,HO,九州電力キューデンヴォルテクス（2025-26）,175,98,1992.01.19,33,東福岡高校,筑波大学,東福岡 筑波,A,32,https://league-one.jp/player/483686,,,'11 U20,,,25/26 Japan Rugby League One - Division 2 (3G/1T) -> 24/25 Japan Rugby League One - Division 2 (8G/3T) -> 23/24 Japan Rugby League One - Division 2 (6G/1T) -> Japan Rugby League One - Division 1 1 0 1 (1G) -> 22/23 Japan Rugby League One - Division 2 (7G/3T) -> Japan Rugby League One - Division 1 0 0 2  -> 21/22 Japan Rugby League One - Division 3 (7G/2T)
Sione Likuata Teaupa,シオネ ・リクアタテアウパ,CTB,九州電力キューデンヴォルテクス（2025-26）,180,99,1998.06.27,27,トゥポウカレッジ,流通経済大学,トゥポウカレッジ 流通経済大学,A,28,https://league-one.jp/player/483687,,,,,,25/26 Japan Rugby League One - Division 2 (5G) -> 24/25 Japan Rugby League One - Division 2 (14G/5T) -> 23/24 Japan Rugby League One - Division 2 (12G/1T)
Kim Kihyun,キム ・ギヒョン,FL,九州電力キューデンヴォルテクス（2025-26）,180,97,2001.02.09,24,ソウル大学附属高校,流通経済大学,ソウル大学附属高等学校 流通経済大学,A,9,https://league-one.jp/player/483688,,,,,,25/26 Japan Rugby League One - Division 2 (5G) -> 24/25 Japan Rugby League One - Division 2 (4G) -> 23/24 Japan Rugby League One - Division 2 (4G/1T)
Takumi Takeshita,竹下 拓己,FB,九州電力キューデンヴォルテクス（2025-26）,178,88,2000.07.17,25,東福岡高校,京都産業大学,東福岡 京都産業,A,2,https://league-one.jp/player/483689,,,,,,23/24 Japan Rugby League One - Division 2 (2G)
Yusaku Kanda,神田 悠作,SH,九州電力キューデンヴォルテクス（2025-26）,170,80,1999.03.08,26,東筑高校,東洋大学,東筑 東洋,A,18,https://league-one.jp/player/483690,,,,,,25/26 Japan Rugby League One - Division 2 (6G/2T) -> 24/25 Japan Rugby League One - Division 2 (6G/1T) -> 23/24 Japan Rugby League One - Division 2 (9G)
