年度,RawData,Source_URL
2005年度,位置氏名ふりがな学年都道府県学校名身長(cm)体重(kg)PR(1)浪岡 祐貴なみおか ゆうき3青森三沢商業17299PR(1)松本 友介まつもと ゆうすけ3奈良天理18497PR(3)川村 慶太かわむら けいた3青森青森工177104PR(3)神田 佑樹かんだ ゆうき3大阪大阪工大18093HO小川 秀平おがわ しゅうへい3大阪啓光学園17486HO川西 智治かわにし ともはる3千葉流経柏17396LO星野 泰佑ほしの たいすけ3大阪東海大仰星18697LO大窪 光おおくぼ ひかる3大阪近大付属18996LO宮川 拓也みやがわ たくや3山梨桂18485FL/NO8浦田 太陽うらた ひかる3大阪大阪工大18085FL/NO8高島 佑介たかしま ゆうすけ3大阪啓光学園17781FL/NO8村下 雅章むらした まさあき3京都伏見工18586FL/NO8清水 直志しみず なおし3東京國學院久我山18084FL/NO8森 慶太もり けいた3奈良天理18188SH伊藤 賢いとう けん3京都伏見工16958SH田村 弘毅たむら こうき3茨城茗渓学園16566SO文字 隆也もんじ たかや3京都伏見工17374SO村田 賢史むらた けんじ3大阪啓光学園17372CTB南 隆彰みなみ たかあき3京都伏見工17677CTB安部 亮佑あべ りょうすけ3大阪東海大仰星17682CTB鳥飼 賢とりがい けん3大阪啓光学園17873WTB大島 佐利おおしま さとし3栃木国学院栃木18083WTB早田 健二はやた けんじ3大分大分舞鶴17473WTB武田 晋たけだ しん3東京國學院久我山18172FB田辺 秀樹たなべ ひでき3大阪啓光学園17471FB林田 知薫はやしだ ともゆき3福岡東福岡17269【スタッフ】役職氏名所属団長溝畑 寛治関西大学副団長神尾 雅和大東文化第一高校監督田中 克己天理高校コーチ梶原 宏之桂高校コーチ福谷 厚大阪工業大学高校総務榎本 孝二大阪府立茨木東高校ドクター岡山 明洙兵庫医科大学病院トレーナー山根 太治-（7月27日発表） | 位置氏名ふりがな学年都道府県学校名身長(cm)体重(kg)PR(1)浪岡 祐貴なみおか ゆうき3青森三沢商業17299PR(1)松本 友介まつもと ゆうすけ3奈良天理18497PR(3)川村 慶太かわむら けいた3青森青森工177104PR(3)神田 佑樹かんだ ゆうき3大阪大阪工大18093HO小川 秀平おがわ しゅうへい3大阪啓光学園17486HO川西 智治かわにし ともはる3千葉流経柏17396LO星野 泰佑ほしの たいすけ3大阪東海大仰星18697LO大窪 光おおくぼ ひかる3大阪近大付属18996LO宮川 拓也みやがわ たくや3山梨桂18485FL/NO8浦田 太陽うらた ひかる3大阪大阪工大18085FL/NO8高島 佑介たかしま ゆうすけ3大阪啓光学園17781FL/NO8村下 雅章むらした まさあき3京都伏見工18586FL/NO8清水 直志しみず なおし3東京國學院久我山18084FL/NO8森 慶太もり けいた3奈良天理18188SH伊藤 賢いとう けん3京都伏見工16958SH田村 弘毅たむら こうき3茨城茗渓学園16566SO文字 隆也もんじ たかや3京都伏見工17374SO村田 賢史むらた けんじ3大阪啓光学園17372CTB南 隆彰みなみ たかあき3京都伏見工17677CTB安部 亮佑あべ りょうすけ3大阪東海大仰星17682CTB鳥飼 賢とりがい けん3大阪啓光学園17873WTB大島 佐利おおしま さとし3栃木国学院栃木18083WTB早田 健二はやた けんじ3大分大分舞鶴17473WTB武田 晋たけだ しん3東京國學院久我山18172FB田辺 秀樹たなべ ひでき3大阪啓光学園17471FB林田 知薫はやしだ ともゆき3福岡東福岡17269 | 位置 | 氏名 | ふりがな | 学年 | 都道府県 | 学校名 | 身長(cm) | 体重(kg) | PR(1) | 浪岡 祐貴 | なみおか ゆうき | 3 | 青森 | 三沢商業 | 172 | 99 | PR(1) | 松本 友介 | まつもと ゆうすけ | 3 | 奈良 | 天理 | 184 | 97 | PR(3) | 川村 慶太 | かわむら けいた | 3 | 青森 | 青森工 | 177 | 104 | PR(3) | 神田 佑樹 | かんだ ゆうき | 3 | 大阪 | 大阪工大 | 180 | 93 | HO | 小川 秀平 | おがわ しゅうへい | 3 | 大阪 | 啓光学園 | 174 | 86 | HO | 川西 智治 | かわにし ともはる | 3 | 千葉 | 流経柏 | 173 | 96 | LO | 星野 泰佑 | ほしの たいすけ | 3 | 大阪 | 東海大仰星 | 186 | 97 | LO | 大窪 光 | おおくぼ ひかる | 3 | 大阪 | 近大付属 | 189 | 96 | LO | 宮川 拓也 | みやがわ たくや | 3 | 山梨 | 桂 | 184 | 85 | FL/NO8 | 浦田 太陽 | うらた ひかる | 3 | 大阪 | 大阪工大 | 180 | 85 | FL/NO8 | 高島 佑介 | たかしま ゆうすけ | 3 | 大阪 | 啓光学園 | 177 | 81 | FL/NO8 | 村下 雅章 | むらした まさあき | 3 | 京都 | 伏見工 | 185 | 86 | FL/NO8 | 清水 直志 | しみず なおし | 3 | 東京 | 國學院久我山 | 180 | 84 | FL/NO8 | 森 慶太 | もり けいた | 3 | 奈良 | 天理 | 181 | 88 | SH | 伊藤 賢 | いとう けん | 3 | 京都 | 伏見工 | 169 | 58 | SH | 田村 弘毅 | たむら こうき | 3 | 茨城 | 茗渓学園 | 165 | 66 | SO | 文字 隆也 | もんじ たかや | 3 | 京都 | 伏見工 | 173 | 74 | SO | 村田 賢史 | むらた けんじ | 3 | 大阪 | 啓光学園 | 173 | 72 | CTB | 南 隆彰 | みなみ たかあき | 3 | 京都 | 伏見工 | 176 | 77 | CTB | 安部 亮佑 | あべ りょうすけ | 3 | 大阪 | 東海大仰星 | 176 | 82 | CTB | 鳥飼 賢 | とりがい けん | 3 | 大阪 | 啓光学園 | 178 | 73 | WTB | 大島 佐利 | おおしま さとし | 3 | 栃木 | 国学院栃木 | 180 | 83 | WTB | 早田 健二 | はやた けんじ | 3 | 大分 | 大分舞鶴 | 174 | 73 | WTB | 武田 晋 | たけだ しん | 3 | 東京 | 國學院久我山 | 181 | 72 | FB | 田辺 秀樹 | たなべ ひでき | 3 | 大阪 | 啓光学園 | 174 | 71 | FB | 林田 知薫 | はやしだ ともゆき | 3 | 福岡 | 東福岡 | 172 | 69 | 役職氏名所属団長溝畑 寛治関西大学副団長神尾 雅和大東文化第一高校監督田中 克己天理高校コーチ梶原 宏之桂高校コーチ福谷 厚大阪工業大学高校総務榎本 孝二大阪府立茨木東高校ドクター岡山 明洙兵庫医科大学病院トレーナー山根 太治- | 役職 | 氏名 | 所属 | 団長 | 溝畑 寛治 | 関西大学 | 副団長 | 神尾 雅和 | 大東文化第一高校 | 監督 | 田中 克己 | 天理高校 | コーチ | 梶原 宏之 | 桂高校 | コーチ | 福谷 厚 | 大阪工業大学高校 | 総務 | 榎本 孝二 | 大阪府立茨木東高校 | ドクター | 岡山 明洙 | 兵庫医科大学病院 | トレーナー | 山根 太治 | -,https://www.rugby-japan.jp/news/6389
2005年度,位置氏名ふりがな学年都道府県学校名身長(cm)体重(kg)PR(1)浪岡 祐貴なみおか ゆうき3青森三沢商業17299PR(1)松本 友介まつもと ゆうすけ3奈良天理18497PR(3)川村 慶太かわむら けいた3青森青森工177104PR(3)神田 佑樹かんだ ゆうき3大阪大阪工大18093HO小川 秀平おがわ しゅうへい3大阪啓光学園17486HO川西 智治かわにし ともはる3千葉流経柏17396LO星野 泰佑ほしの たいすけ3大阪東海大仰星18697LO大窪 光おおくぼ ひかる3大阪近大付属18996LO宮川 拓也みやがわ たくや3山梨桂18485FL/NO8浦田 太陽うらた ひかる3大阪大阪工大18085FL/NO8高島 佑介たかしま ゆうすけ3大阪啓光学園17781FL/NO8村下 雅章むらした まさあき3京都伏見工18586FL/NO8清水 直志しみず なおし3東京國學院久我山18084FL/NO8森 慶太もり けいた3奈良天理18188SH伊藤 賢いとう けん3京都伏見工16958SH田村 弘毅たむら こうき3茨城茗渓学園16566SO文字 隆也もんじ たかや3京都伏見工17374SO村田 賢史むらた けんじ3大阪啓光学園17372CTB南 隆彰みなみ たかあき3京都伏見工17677CTB安部 亮佑あべ りょうすけ3大阪東海大仰星17682CTB鳥飼 賢とりがい けん3大阪啓光学園17873WTB大島 佐利おおしま さとし3栃木国学院栃木18083WTB早田 健二はやた けんじ3大分大分舞鶴17473WTB武田 晋たけだ しん3東京國學院久我山18172FB田辺 秀樹たなべ ひでき3大阪啓光学園17471FB林田 知薫はやしだ ともゆき3福岡東福岡17269 | 位置 | 氏名 | ふりがな | 学年 | 都道府県 | 学校名 | 身長(cm) | 体重(kg) | PR(1) | 浪岡 祐貴 | なみおか ゆうき | 3 | 青森 | 三沢商業 | 172 | 99 | PR(1) | 松本 友介 | まつもと ゆうすけ | 3 | 奈良 | 天理 | 184 | 97 | PR(3) | 川村 慶太 | かわむら けいた | 3 | 青森 | 青森工 | 177 | 104 | PR(3) | 神田 佑樹 | かんだ ゆうき | 3 | 大阪 | 大阪工大 | 180 | 93 | HO | 小川 秀平 | おがわ しゅうへい | 3 | 大阪 | 啓光学園 | 174 | 86 | HO | 川西 智治 | かわにし ともはる | 3 | 千葉 | 流経柏 | 173 | 96 | LO | 星野 泰佑 | ほしの たいすけ | 3 | 大阪 | 東海大仰星 | 186 | 97 | LO | 大窪 光 | おおくぼ ひかる | 3 | 大阪 | 近大付属 | 189 | 96 | LO | 宮川 拓也 | みやがわ たくや | 3 | 山梨 | 桂 | 184 | 85 | FL/NO8 | 浦田 太陽 | うらた ひかる | 3 | 大阪 | 大阪工大 | 180 | 85 | FL/NO8 | 高島 佑介 | たかしま ゆうすけ | 3 | 大阪 | 啓光学園 | 177 | 81 | FL/NO8 | 村下 雅章 | むらした まさあき | 3 | 京都 | 伏見工 | 185 | 86 | FL/NO8 | 清水 直志 | しみず なおし | 3 | 東京 | 國學院久我山 | 180 | 84 | FL/NO8 | 森 慶太 | もり けいた | 3 | 奈良 | 天理 | 181 | 88 | SH | 伊藤 賢 | いとう けん | 3 | 京都 | 伏見工 | 169 | 58 | SH | 田村 弘毅 | たむら こうき | 3 | 茨城 | 茗渓学園 | 165 | 66 | SO | 文字 隆也 | もんじ たかや | 3 | 京都 | 伏見工 | 173 | 74 | SO | 村田 賢史 | むらた けんじ | 3 | 大阪 | 啓光学園 | 173 | 72 | CTB | 南 隆彰 | みなみ たかあき | 3 | 京都 | 伏見工 | 176 | 77 | CTB | 安部 亮佑 | あべ りょうすけ | 3 | 大阪 | 東海大仰星 | 176 | 82 | CTB | 鳥飼 賢 | とりがい けん | 3 | 大阪 | 啓光学園 | 178 | 73 | WTB | 大島 佐利 | おおしま さとし | 3 | 栃木 | 国学院栃木 | 180 | 83 | WTB | 早田 健二 | はやた けんじ | 3 | 大分 | 大分舞鶴 | 174 | 73 | WTB | 武田 晋 | たけだ しん | 3 | 東京 | 國學院久我山 | 181 | 72 | FB | 田辺 秀樹 | たなべ ひでき | 3 | 大阪 | 啓光学園 | 174 | 71 | FB | 林田 知薫 | はやしだ ともゆき | 3 | 福岡 | 東福岡 | 172 | 69,https://www.rugby-japan.jp/news/6389
2005年度,位置 | 氏名 | ふりがな | 学年 | 都道府県 | 学校名 | 身長(cm) | 体重(kg),https://www.rugby-japan.jp/news/6389
2005年度,PR(1) | 浪岡 祐貴 | なみおか ゆうき | 3 | 青森 | 三沢商業 | 172 | 99,https://www.rugby-japan.jp/news/6389
2005年度,PR(1) | 松本 友介 | まつもと ゆうすけ | 3 | 奈良 | 天理 | 184 | 97,https://www.rugby-japan.jp/news/6389
2005年度,PR(3) | 川村 慶太 | かわむら けいた | 3 | 青森 | 青森工 | 177 | 104,https://www.rugby-japan.jp/news/6389
2005年度,PR(3) | 神田 佑樹 | かんだ ゆうき | 3 | 大阪 | 大阪工大 | 180 | 93,https://www.rugby-japan.jp/news/6389
2005年度,HO | 小川 秀平 | おがわ しゅうへい | 3 | 大阪 | 啓光学園 | 174 | 86,https://www.rugby-japan.jp/news/6389
2005年度,HO | 川西 智治 | かわにし ともはる | 3 | 千葉 | 流経柏 | 173 | 96,https://www.rugby-japan.jp/news/6389
2005年度,LO | 星野 泰佑 | ほしの たいすけ | 3 | 大阪 | 東海大仰星 | 186 | 97,https://www.rugby-japan.jp/news/6389
