日本代表歴代キャップ保持者一覧,,
No.,氏名,CAP
441,熊谷　皇紀,26
442,伊藤　宏明,2
443,向山　昌利,6
444,大東　功一,7
445,大野　　均,98
446,池田　　渉,14
447,真羽　闘力,6
448,森田　恭平,8
449,山本　　貢,10
450,遠藤　幸佑,42
451,山岡　　俊,13
452,武井　敬司,6
453,大門　隼人,2
454,霜村　誠一,6
455,窪田幸一郎,3
456,山口　貴豊,3
457,田中　澄憲,3
458,水野　弘貴,12
459,西浦　達吉,17
460,大田尾竜彦,7
461,髙橋　　寛,5
462,ジェミー・ワシントン,7
463,ハレ・マキリ,26
464,中居　智昭,11
465,クリスチャン・ロアマヌ,16
466,後藤　翔太,8
467,五郎丸　歩,57
468,高木　重保,5
469,中林　正一,4
470,カトニ・オツコロ,3
471,フィリップ・オライリー,11
472,冨岡　鉄平,2
473,北川　俊澄,43
474,菊谷　　崇,68
475,榎本　淳平,1
476,佐藤　　剛,9
477,三宅　　敬,4
478,相馬　朋和,24
479,安藤　栄次,13
480,今村　雄太,39
481,矢富　勇毅,16
482,守屋　　篤,7
483,谷口　智昭,12
484,有賀　　剛,18
485,北川　智規,3
486,吉田　朋生,25
487,ジェームス・アレジ,32
488,ブライス・ロビンス,25
489,平　　浩二,32
490,青木　佑輔,30
491,北川　勇次,6
492,小野　晃征,34
493,トンプソン・ルーク,71
494,佐々木隆道,13
495,廣瀬　俊朗,28
496,猪口　　拓,7
497,杉浦　敬宏,1
498,グレン・マーシュ,3
499,久住　辰也,3
500,金　哲元（喆元）,2
501,篠塚　公史,6
502,ライアン・ニコラス,38
503,吉田　大樹,7
504,尾﨑　　章,3
505,中山　義孝,11
506,佐藤　貴志,4
507,池谷　陽輔,3
508,猪瀬　佑太,6
509,佐藤　　平,3
510,田中　史朗,75
511,ウェブ　将武,35
512,ホラニ龍コリニアシ,45
513,水山　尚範,3
514,平島　久照,42
515,畠山　健介,78
516,冨岡　耕児,6
517,松下　　馨,7
518,リーチ マイケル,92
519,川俣　直樹,18
520,豊田　真人,1
521,入江　順和,1
522,ピエイ・マフィレオ,1
523,山下　裕史,51
524,タウファ統悦,22
525,金井　健雄,4
526,仲村　慎祐,6
527,ジャック・タラント,7
528,安江　祥光,2
529,豊田　将万,9
530,堀江　翔太,76
531,ダニエル・ケート,1
532,アリシ・トゥプアイレイ,20
533,木津　武士,44
534,真壁　伸弥,37
535,バツベイシオネ,8
536,長友　泰憲,9
537,湯原　祐希,22
538,藤田　　望,14
539,金澤　　良,3
540,和田　耕二,5
541,山中　亮平,30
542,田邉　　淳,3
543,谷口　　到,10
544,ジャスティン・アイブス,33
545,日和佐　篤,51
546,上田　泰平,6
547,宇薄　岳央,7
548,上野　隆太,1
549,西原　忠佑,3
550,マリー・ウィリアムス,6
551,長江　有祐,18
552,有田　隆平,9
553,伊藤　鐘史,36
554,藤井　淳,6
555,田村　優,70
556,仙波　智裕,9
557,立川　理道,62
558,内田　啓介,22
559,坪井　秀龍,2
560,望月　雄太,7
561,橋本　大輝,1
562,藤田　慶和,31
563,桑水流裕策,3
564,森川　海斗,1
565,ヘンドリック・ツイ,47
566,マイケル・ブロードハースト,26
567,三上　正貴,35
568,マレ・サウ,27
569,福岡　堅樹,38
570,浅原　拓真,12
571,クレイグ・ウィング,11
572,安井　龍太,2
573,中村　亮土,39
574,山田　章仁,25
575,ヘイデン・ホップグッド,11
576,松島　幸太朗,55
577,村田　大志,2
578,堀江　恭佑,3
579,林　泰基,3
580,アマナキ・レレイ・マフィ,29
581,カーン・ヘスケス,16
582,稲垣　啓太,53
583,垣永　真之介,12
584,松井　千士,2
585,宇佐美　和彦,10
586,村田　毅,7
587,ティム・ベネット,5
588,渡邉　隆之,10
589,北川　賢吾,3
590,森　太志,2
591,知念　雄,6
592,谷田部　洸太郎,15
593,山本　浩輝,6
594,安藤　泰洋,2
595,テビタ・タタフ,20
596,児玉　健太郎,4
597,石橋　拓也,4
598,山下　一,3
599,野口　竜司,14
600,東恩納　寛太,4
601,小瀧　尚弘,11
602,井上　大介,2
603,前田 土芽,4
604,坂手　淳史,47
605,アタアタ・モエアキオラ,4
606,金　正奎,7
607,三浦　昌悟,14
608,古川　聖人,3
609,安田　卓平,2
610,橋本　大吾,3
611,ファウルア・マキシ,23
612,中嶋　大希,4
613,細田　佳也,2
614,笹倉　康誉,3
615,パエア ミフィポセチ,3
616,茂野　海人,16
617,松田　力也,39
618,仲谷　聖史,4
619,梶川　喬介,4
620,アニセ サムエラ,12
621,ヘル ウヴェ,19
622,三村　勇飛丸,2
623,アマナキ・ロトアヘア,8
624,レメキ ロマノ ラヴァ,20
625,伊藤　平一郎,6
626,マルジーン・イラウア,7
627,松橋　周平,8
628,山本　幸輝,7
629,ラファエレ ティモシー,28
630,小川　高廣,3
631,布巻　峻介,7
632,山路　泰生,1
633,日野　剛志,5
634,石原　慎太郎,11
635,大戸　裕矢,5
636,柳川　大樹,1
637,小澤　直輝,4
638,徳永　祥尭,15
639,流　大,36
640,小倉　順平,4
641,尾崎　晟也,4
642,須藤　元樹,2
643,伊東　力,1
644,浅堀　航平,2
645,山沢　拓也,10
646,鹿尾　貫太,2
647,堀越　康介,7
648,デレック・カーペンター,2
649,庭井　祐輔,10
650,ウィリアム・トゥポウ,12
651,姫野　和樹,36
652,ヴィンピー・ファンデルヴァルト,22
653,ヴァル　アサエリ愛,30
654,シオネ・テアウパ,3
655,フェツアニ・ラウタイミ,3
656,具　智元,29
657,西川　征克,3
658,ヘンリー・ジェイミー,1
659,中島　イシレリ,9
660,梶村　祐介,7
661,ジェームス・ムーア,16
662,ピーター・ラブスカフニ,19
663,木津　悠輔,6
664,北出　卓也,1
665,シオサイア・フィフィタ,16
666,齋藤　直人,28
667,クレイグ・ミラー,17
668,ジャック・コーネルセン,29
669,セミシ・マシレワ,7
670,シェーン・ゲイツ,4
671,ベン・ガンター,17
672,ディラン・ライリー,38
673,中野　将伍,11
674,ワーナー・ディアンズ,32
675,淺岡　俊亮,1
676,飯野　晃司,1
677,根塚　洸雅,3
678,竹山　晃暉,1
679,竹内　柊平,24
680,海士　広大,1
681,シオネ・ラベマイ,1
682,メイン　平,1
683,秋山　大地,2
