年度,RawData,Source_URL
2024年度,ポジション | 名前 | 所属 | 身長 | 体重 | 生年月日,https://www.rugby-japan.jp/news/52508
2024年度,PR | 森 仁之輔Jinnosuke MORI | 天理大学Tenri Univ. | 177 | 105 | 2004/1/14,https://www.rugby-japan.jp/news/52508
2024年度,PR | 浦出 睦己Mutsuki URADE | 近畿大学Kindai Univ. | 167 | 104 | 2005/1/17,https://www.rugby-japan.jp/news/52508
2024年度,PR | 布引 大翔Towa NUNOBIKI | 帝京大学Teikyo Univ. | 180 | 110 | 2004/11/17,https://www.rugby-japan.jp/news/52508
2024年度,PR | 八田 優太Yuta HATTA | 京都産業大学Kyoto Sangyo Univ. | 185 | 112 | 2004/4/5,https://www.rugby-japan.jp/news/52508
2024年度,PR | 山口 匠Takumi YAMAGUCHI | 明治大学Meiji Univ. | 181 | 120 | 2005/3/29,https://www.rugby-japan.jp/news/52508
2024年度,HO | 佐藤 健次Kenji SATO | 早稲田大学Waseda Univ. | 177 | 108 | 2003/1/4,https://www.rugby-japan.jp/news/52508
2024年度,HO | 螻川内 晴也Haruya KERAKAWAUCHI | 帝京大学Teikyo Univ. | 174 | 100 | 2004/9/15,https://www.rugby-japan.jp/news/52508
2024年度,HO | 清水 健伸Kenshin SHIMIZU | 早稲田大学Waseda Univ. | 178 | 104 | 2004/12/27,https://www.rugby-japan.jp/news/52508
2024年度,LO | 石橋 チューカChuka ISHIBASHI | 京都産業大学Kyoto Sangyo Univ. | 190 | 95 | 2004/4/10,https://www.rugby-japan.jp/news/52508
2024年度,LO | 磯部 俊太朗Shuntaro ISOBE | 筑波大学Tsukuba Univ. | 190 | 110 | 2004/7/14,https://www.rugby-japan.jp/news/52508
2024年度,LO | 物部 耀大朗Yotaro MONOBE | 明治大学Meiji Univ. | 191 | 116 | 2004/9/28,https://www.rugby-japan.jp/news/52508
2024年度,LO | 白丸 智乃祐Tomonosuke SHIROMARU | 筑波大学Tsukuba Univ. | 185 | 106 | 2004/12/14,https://www.rugby-japan.jp/news/52508
2024年度,LO | 青木 恵斗Keito AOKI | 帝京大学Teikyo Univ. | 187 | 100 | 2002/6/14,https://www.rugby-japan.jp/news/52508
2024年度,FL | 川越 功喜Koki KAWAGOE | 天理大学Tenri Univ. | 180 | 88 | 2004/5/23,https://www.rugby-japan.jp/news/52508
2024年度,FL | 太安 善明 ◎Yoshiaki TAIAN | 天理大学Tenri Univ. | 176 | 92 | 2004/4/2,https://www.rugby-japan.jp/news/52508
2024年度,FL/NO8 | 亀井 秋穂Shusui KAMEI | 明治大学Meiji Univ. | 191 | 84 | 2004/10/27,https://www.rugby-japan.jp/news/52508
2024年度,FL/NO8 | 大川 虎拓郎Kotaro OKAWA | 明治大学Meiji Univ. | 187 | 102 | 2004/4/24,https://www.rugby-japan.jp/news/52508
2024年度,SH | 土永 旭Asahi DOEI | 京都産業大学Kyoto Sangyo Univ. | 170 | 73 | 2003/1/9,https://www.rugby-japan.jp/news/52508
2024年度,SH | 髙木 城治Joji TAKAGI | 京都産業大学Kyoto Sangyo Univ. | 164 | 70 | 2004/9/11,https://www.rugby-japan.jp/news/52508
2024年度,SH/SO | 伊藤 利江人Rieto ITO | 明治大学Meiji Univ. | 173 | 74 | 2004/7/30,https://www.rugby-japan.jp/news/52508
2024年度,SO | 本橋 尭也Takaya MOTOHASHI | 帝京大学Teikyo Univ. | 182 | 86 | 2004/5/19,https://www.rugby-japan.jp/news/52508
2024年度,SO | 伊藤 龍之介Ryunosuke ITO | 明治大学Meiji Univ. | 170 | 76 | 2004/7/30,https://www.rugby-japan.jp/news/52508
2024年度,CTB | 秋濱 悠太Yuta AKIHAMA | 明治大学Meiji Univ. | 174 | 84 | 2002/5/15,https://www.rugby-japan.jp/news/52508
2024年度,CTB | 上田 倭士Yamato UEDA | 帝京大学Teikyo Univ. | 180 | 84 | 2005/3/8,https://www.rugby-japan.jp/news/52508
2024年度,WTB/FB | 海老澤 琥珀Kohaku EBISAWA | 明治大学Meiji Univ. | 173 | 79 | 2004/10/27,https://www.rugby-japan.jp/news/52508
2024年度,WTB/FB | 矢崎 由高Yoshitaka YAZAKI | 早稲田大学Waseda Univ. | 180 | 85 | 2004/5/12,https://www.rugby-japan.jp/news/52508
2024年度,Utility | 竹之下 仁吾Jingo TAKENOSHITA | 明治大学Meiji Univ. | 180 | 83 | 2004/6/11,https://www.rugby-japan.jp/news/52508
2024年度,Utility | 増山 将Tasuku MASUYAMA | 筑波大学Tsukuba Univ. | 177 | 83 | 2004/4/14,https://www.rugby-japan.jp/news/52508
2025年度,1 | 大塚 壮二郎Sojiro OTSUKA | 関西学院大学Kwansei Gakuin Univ. | 関西学院高等部Kwansei Gakuin Senior HS | 178 | 110 | 2004/7/5,https://www.rugby-japan.jp/news/53277
2025年度,2 | 田中 京也Kyoya TANAKA | 立命館大学Ritsumeikan Univ. | 東福岡高校Higashi Fukuoka HS | 175 | 95 | 2005/9/14,https://www.rugby-japan.jp/news/53277
2025年度,3 | 石井 智亮Tomoaki ISHII | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | 成蹊大学Seikei univ. | 182 | 120 | 1995/8/23,https://www.rugby-japan.jp/news/53277
2025年度,4 | 能勢 涼太郎Ryotaro NOSE | 近畿大学Kindai Univ. | 川西北陵高校Kawanishi Hokuryo HS | 197 | 108 | 2003/7/28,https://www.rugby-japan.jp/news/53277
2025年度,5 | エピネリ・ウルイヴァイティEpineri ULUIVITI | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | ラトゥ カダヴレヴスクール[FIJ]Ratu Kadavulevu School | 196 | 122 | 1996/7/7,https://www.rugby-japan.jp/news/53277
2025年度,6 | 森山 海宇オスティンMiuaustin MORIYAMA | 東洋大学Toyo Univ. | 目黒学院高校Meguro Gakuin HS | 183 | 102 | 2003/9/23,https://www.rugby-japan.jp/news/53277
2025年度,7 | 中森 真翔Manato NAKAMORI | 筑波大学Tsukuba Univ. | 桐蔭学園高校Toin Gakuen HS | 190 | 93 | 2005/12/24,https://www.rugby-japan.jp/news/53277
2025年度,8 | 小林 典大Tenta KOBAYASHI | 関西学院大学Kwansei Gakuin Univ. | 京都成章高校Kyoto Seisho HS | 185 | 105 | 2003/11/27,https://www.rugby-japan.jp/news/53277
2025年度,9 | 土永 旭Asahi DOEI | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 京都産業大学Kyoto Sangyo Univ. | 170 | 73 | 2003/1/9,https://www.rugby-japan.jp/news/53277
2025年度,10 | 中楠 一期◎Ichigo NAKAKUSU | リコーブラックラムズ東京RICOH BlackRams Tokyo | 慶應義塾大学Keio Univ. | 174 | 84 | 2000/6/1,https://www.rugby-japan.jp/news/53277
2025年度,11 | 武藤 航生Kosho MUTO | 関西学院大学Kwansei Gakuin Univ. | 関西学院高等部Kwansei Gakuin Senior HS | 174 | 83 | 2004/3/23,https://www.rugby-japan.jp/news/53277
2025年度,12 | チャーリー・ローレンスCharlie LAWRENCE | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | ハミルトンボーイズ高校Hamilton Boys’HS. | 171 | 90 | 1998/5/27,https://www.rugby-japan.jp/news/53277
2025年度,13 | 李 智寿Jisu LEE | 朝鮮大学校Korea Univ. | 大阪朝鮮高校Osaka Chosen HS | 180 | 82 | 2004/11/6,https://www.rugby-japan.jp/news/53277
2025年度,14 | メイン 平Taira MAIN | リコーブラックラムズ東京RICOH BlackRams Tokyo | 御所実業高校Gose Industrial HS | 178 | 90 | 2000/9/5,https://www.rugby-japan.jp/news/53277
2025年度,15 | 竹之下 仁吾◯Jingo TAKENOSHITA | 明治大学Meiji Univ. | 報徳学園高校Hotoku Gakuen HS | 180 | 86 | 2004/6/11,https://www.rugby-japan.jp/news/53277
2025年度,16 | 李 淳弘SoonHong LEE | リコーブラックラムズ東京RICOH BlackRams Tokyo | 京都産業大学Kyoto Sangyo Univ. | 172 | 100 | 2002/6/29,https://www.rugby-japan.jp/news/53277
2025年度,17 | 津村 大志Taishi TSUMURA | リコーブラックラムズ東京RICOH BlackRams Tokyo | 帝京大学Teikyo Univ. | 173 | 108 | 2001/4/30,https://www.rugby-japan.jp/news/53277
2025年度,18 | 大山 祥平Shohei OYAMA | リコーブラックラムズ東京RICOH BlackRams Tokyo | 慶應義塾大学Keio Univ. | 186 | 115 | 1998/11/15,https://www.rugby-japan.jp/news/53277
2025年度,19 | 栗原 大地Daichi KURIHARA | 東洋大学Toyo Univ. | 伊勢崎興陽高校Isesaki Koyo HS | 192 | 102 | 2003/9/29,https://www.rugby-japan.jp/news/53277
2025年度,20 | 吉田 杏◯Kyo YOSHIDA | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | 帝京大学Teikyo Univ. | 188 | 108 | 1995/6/30,https://www.rugby-japan.jp/news/53277
2025年度,21 | 青木 恵斗Keito AOKI | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 187 | 110 | 2002/6/14,https://www.rugby-japan.jp/news/53277
2025年度,22 | 細矢 聖樹Sena HOSOYA | 静岡ブルーレヴズSHIZUOKA BlueRevs | 早稲田大学Waseda Univ. | 162 | 63 | 2003/3/16,https://www.rugby-japan.jp/news/53277
2025年度,23 | 小村 真也Shinya KOMURA | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 180 | 92 | 2002/5/28,https://www.rugby-japan.jp/news/53277
2025年度,1 | 津村 大志Taishi TSUMURA | リコーブラックラムズ東京RICOH BlackRams Tokyo | 帝京大学Teikyo Univ. | 173 | 108 | 2001/4/30,https://www.rugby-japan.jp/news/53299
2025年度,2 | 佐川 奨茉Shoma SAGAWA | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | 日本大学Nihon Univ. | 180 | 103 | 2002/1/20,https://www.rugby-japan.jp/news/53299
2025年度,3 | 木原 三四郎Sanshiro KIHARA | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 専修大学Senshu Univ. | 181 | 108 | 2003/1/20,https://www.rugby-japan.jp/news/53299
2025年度,4 | エピネリ・ウルイヴァイティEpineri ULUIVITI | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | ラトゥ カダヴレヴスクール[FIJ]Ratu Kadavulevu School | 196 | 122 | 1996/7/7,https://www.rugby-japan.jp/news/53299
2025年度,5 | 山本 秀Shu YAMAMOTO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 近畿大学Kindai Univ. | 190 | 96 | 1999/6/1,https://www.rugby-japan.jp/news/53299
2025年度,6 | 青木 恵斗Keito AOKI | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 187 | 110 | 2002/6/14,https://www.rugby-japan.jp/news/53299
2025年度,7 | 奥井 章仁Akito OKUI | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 178 | 105 | 2001/9/17,https://www.rugby-japan.jp/news/53299
2025年度,8 | 吉田 杏 ◯Kyo YOSHIDA | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | 帝京大学Teikyo Univ. | 188 | 108 | 1995/6/30,https://www.rugby-japan.jp/news/53299
2025年度,9 | 土永 旭Asahi DOEI | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 京都産業大学Kyoto Sangyo Univ. | 170 | 73 | 2003/1/9,https://www.rugby-japan.jp/news/53299
2025年度,10 | 中楠 一期 ◎Ichigo NAKAKUSU | リコーブラックラムズ東京RICOH BlackRams Tokyo | 慶應義塾大学Keio Univ. | 174 | 84 | 2000/6/1,https://www.rugby-japan.jp/news/53299
2025年度,11 | 高本 とむTomu TAKAMOTO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 帝京大学Teikyo Univ. | 182 | 92 | 2001/10/10,https://www.rugby-japan.jp/news/53299
2025年度,12 | チャーリー・ローレンスCharlie LAWRENCE | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | ハミルトンボーイズ高校Hamilton Boys’HS. | 171 | 90 | 1998/5/27,https://www.rugby-japan.jp/news/53299
2025年度,13 | PJ・ラトゥPJ LATU | リコーブラックラムズ東京RICOH BlackRams Tokyo | 大東文化大学Daito Bunka Univ. | 188 | 105 | 2000/10/24,https://www.rugby-japan.jp/news/53299
2025年度,14 | メイン 平Taira MAIN | リコーブラックラムズ東京RICOH BlackRams Tokyo | 御所実業高校Gose Industrial HS. | 178 | 90 | 2000/9/5,https://www.rugby-japan.jp/news/53299
2025年度,15 | 伊藤 耕太郎Kotaro ITO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 明治大学Meiji Univ. | 177 | 86 | 2001/11/15,https://www.rugby-japan.jp/news/53299
2025年度,16 | 平生 翔大Shodai HIRAO | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 関西学院大学Kwansei Gakuin Univ. | 174 | 103 | 2002/10/11,https://www.rugby-japan.jp/news/53299
2025年度,17 | 蔡 唯志Yuji CHAE | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | 近畿大学Kindai Univ. | 175 | 105 | 2003/2/9,https://www.rugby-japan.jp/news/53299
2025年度,18 | 大山 祥平Shohei OYAMA | リコーブラックラムズ東京RICOH BlackRams Tokyo | 慶應義塾大学Keio Univ. | 186 | 115 | 1998/11/15,https://www.rugby-japan.jp/news/53299
2025年度,19 | 中谷 陸人Rikuto NAKAYA | 同志社大学Doshisha Univ. | 大阪桐蔭高校Osaka Toin HS. | 180 | 102 | 2005/4/15,https://www.rugby-japan.jp/news/53299
2025年度,20 | 古川 聖人Masato FURUKAWA | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 立命館大学Ritsumeikan Univ. | 179 | 94 | 1996/12/6,https://www.rugby-japan.jp/news/53299
2025年度,21 | 細矢 聖樹Sena HOSOYA | 静岡ブルーレヴズSHIZUOKA BlueRevs | 早稲田大学Waseda Univ. | 162 | 63 | 2003/3/16,https://www.rugby-japan.jp/news/53299
2025年度,22 | 小村 真也Shinya KOMURA | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 180 | 92 | 2002/5/28,https://www.rugby-japan.jp/news/53299
2025年度,23 | 竹澤 正祥Masayoshi TAKEZAWA | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 日本大学Nihon Univ. | 176 | 86 | 1995/5/5,https://www.rugby-japan.jp/news/53299
2025年度,1 | 小林 賢太Kenta KOBAYASHI | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 早稲田大学Waseda Univ. | 181 | 113 | 1999/6/2,https://www.rugby-japan.jp/news/53348
2025年度,2 | 江良 颯Hayate ERA | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 帝京大学Teikyo Univ. | 172 | 106 | 2001/9/18,https://www.rugby-japan.jp/news/53348
2025年度,3 | 竹内 柊平Shuhei TAKEUCHI | ― | 九州共立大学Kyushu Kyoritsu Univ. | 183 | 115 | 1997/12/9,https://www.rugby-japan.jp/news/53348
2025年度,4 | エピネリ・ウルイヴァイティEpineri ULUIVITI | 三菱重工相模原ダイナボアーズMitsubishi Heavy IndustriesSagamihara Dynaboars | ラトゥ カダヴレヴスクールRatu Kadavulevu School | 196 | 122 | 1996/7/7,https://www.rugby-japan.jp/news/53348
