div,name,missing,file
high-school,目黒雄心,"birth_date,university,high_school,country",src/content/players/high-school/player-69035b81.md
high-school,近藤颯生,"birth_date,university,high_school,country",src/content/players/high-school/player-7c510c96.md
high-school,鎌田麗央,"birth_date,university,high_school,country",src/content/players/high-school/player-4f9c067d.md
high-school,門田龍海,"birth_date,university,high_school,country",src/content/players/high-school/player-5ec1c3e0.md
pro,A. Ainsworth-Cave,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-ainsworth-cave.md
pro,A. Barbeary,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-barbeary.md
pro,A. Bell,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-bell.md
pro,A. Benson,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-benson.md
pro,A. Boshoff,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-boshoff.md
pro,A. Bradshaw,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-bradshaw.md
pro,A. Brocklebank,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-brocklebank.md
pro,A. Caqusau,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-caqusau.md
pro,A. Clarey,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-clarey.md
pro,A. Emens,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-emens.md
pro,A. Evans-Fecci,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-evans-fecci.md
pro,A. Fasogbon,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-fasogbon.md
pro,A. Green,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-green.md
pro,A. Hall,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-hall.md
pro,A. Heaney,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-heaney.md
pro,A. Hearle,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-hearle.md
pro,A. Longstaff,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-longstaff.md
pro,A. McArthur,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-mcarthur.md
pro,A. McParland,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-mcparland.md
pro,A. O'Driscoll,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-o'driscoll.md
pro,A. Pugh,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-pugh.md
pro,A. Ridgway,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-ridgway.md
pro,A. Scott,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-scott.md
pro,A. Scott-Young,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-scott-young.md
pro,A. Wills,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-wills.md
pro,A. van der Flier,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/a.-van-der-flier.md
pro,AJ LAM,"university,high_school,country",src/content/players/pro/aj-lam.md
pro,AJ MacGinty,"height,weight,university,high_school,country",src/content/players/pro/aj-macginty.md
pro,Aaron GRANDIDIER,"university,high_school,country",src/content/players/pro/aaron-grandidier.md
pro,Abraham PAPALI'I,"university,high_school",src/content/players/pro/abraham-papali-i.md
pro,Abraham POLE,"university,high_school,country",src/content/players/pro/abraham-pole.md
pro,Adam BEARD,"university,high_school",src/content/players/pro/adam-beard.md
pro,Adam COLEMAN,"university,high_school,country",src/content/players/pro/adam-coleman.md
pro,Adam LENNOX,"university,high_school,country",src/content/players/pro/adam-lennox.md
pro,Adam Radwan,"height,weight,university,high_school,country",src/content/players/pro/adam-radwan.md
pro,Adam VARGAS,"university,high_school,country",src/content/players/pro/adam-vargas.md
pro,Adrea COCAGI,"university,high_school",src/content/players/pro/adrea-cocagi.md
pro,Adrien DRAULT,"university,high_school,country",src/content/players/pro/adrien-drault.md
pro,Adrien SEGURET,"university,high_school",src/content/players/pro/adrien-seguret.md
pro,Adrien WARION,"university,high_school",src/content/players/pro/adrien-warion.md
