slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
aaron-grandidier,Aaron GRANDIDIER,top14|national,yes,height_cm|weight_kg,top14:185|national:190,top14:92|national:93,top14:['France']|national:['France'],top14:None|national:None,185,92,top14,2026-07-25T22:44:46+09:00
aaron-wainwright,Aaron WAINWRIGHT,urc|national,yes,height_cm|weight_kg,urc:186|national:184,urc:109|national:114,urc:['Wales']|national:['Wales'],urc:None|national:None,184,114,national,2026-07-24T00:09:26+09:00
abraham-papali-i,Abraham PAPALI'I,top14|national,no,,top14:198|national:198,top14:125|national:125,"top14:['New Zealand', 'Samoa']|national:['New Zealand', 'Samoa']",top14:None|national:None,198,125,top14,2026-07-25T22:20:41+09:00
adam-beard,Adam BEARD,top14|national,yes,height_cm|weight_kg,top14:203|national:201,top14:119|national:117,top14:['Wales']|national:['Wales'],top14:None|national:None,203,119,top14,2026-07-25T22:35:34+09:00
adam-hastings,Adam HASTINGS,urc|national,yes,height_cm|weight_kg,urc:184|national:193,urc:93|national:96,urc:['Scotland']|national:['Scotland'],urc:None|national:None,193,96,national,2026-07-23T23:48:56+09:00
agustin-moyano,Agustín MOYANO,super-rugby|national,yes,height_cm|weight_kg,super-rugby:171|national:178,super-rugby:74|national:76,super-rugby:[]|national:[],super-rugby:None|national:None,171,74,super-rugby,2026-07-25T23:55:11+09:00
aidan-ross,Aidan ROSS,super-rugby|national,yes,height_cm|weight_kg,super-rugby:190|national:184,super-rugby:118|national:115,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,190,118,super-rugby,2026-07-25T23:49:13+09:00
aleksandre-kuntelia,Aleksandre KUNTELIA,top14|national,yes,height_cm|weight_kg,top14:194|national:195,top14:135|national:134,top14:[]|national:[],top14:None|national:None,194,135,top14,2026-07-25T22:27:36+09:00
alex-coles,Alex COLES,premiership|national,yes,height_cm|weight_kg,premiership:205|national:207,premiership:120|national:122,premiership:['England']|national:['England'],premiership:None|national:None,207,122,national,2026-07-24T00:14:11+09:00
alex-craig,Alex CRAIG,urc|national,yes,height_cm,urc:202|national:200,urc:121|national:121,urc:['Scotland']|national:['Scotland'],urc:None|national:None,200,121,national,2026-07-23T23:47:47+09:00
alex-mann,Alex MANN,urc|national,yes,height_cm|weight_kg,urc:186|national:188,urc:98|national:100,urc:['Wales']|national:['Wales'],urc:None|national:None,188,100,national,2026-07-24T00:09:29+09:00
alex-maughan,Alex MAUGHAN,mlr|national,yes,height_cm,mlr:181|national:188,mlr:128|national:128,mlr:[]|national:[],mlr:None|national:None,188,128,national,2026-07-24T00:35:13+09:00
alex-mitchell,Alex MITCHELL,premiership|national,yes,weight_kg,premiership:175|national:175,premiership:84|national:87,premiership:['England']|national:['England'],premiership:None|national:None,175,87,national,2026-07-24T00:14:44+09:00
