=== Missing Nationality Report ===
Total: 3834

Name: Hiroki Kumoyama (雲山 弘貴) | Team: 花園近鉄ライナーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484534
Name: Takeo Suenaga (末永 健雄) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483762
Name: Hayata Nakao (中尾 隼太) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484683
Name: Hayato Fukunishi (福西 隼杜) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483944
Name: Atsushi Sakate (坂手 淳史) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484066
Name: Naoaki Horibe (堀部 直壮) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483778
Name: Yusaku Kihara (木原 優作) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484039
Name: Taichi Mano (眞野 泰地) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484364
Name: Akihito Yamada (山田 章仁) | Team: 九州電力キューデンヴォルテクス（2025-26） (league-one) | URL: https://league-one.jp/player/483693
Name: Shuhei Takeuchi (竹内 柊平) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485712
Name: Hiroki Yamamoto (山本 浩輝) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484371
Name: Naohiro Kotaki (小瀧 尚弘) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483961
Name: Takara Imamura (今村 陽良) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483959
Name: Yuichiro Taniguchi (谷口 祐一郎) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484883
Name: Takayuki Watanabe (渡邉 隆之) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483965
Name: Daigo Hashimoto (橋本 大吾) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484373
