英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,Full_Career_English,国籍,SNS_Instagram,SNS_Twitter,SNS_Facebook,選手名_カタカナ,リーグ
A. Ainsworth-Cave,,Flanker,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
A. Barbeary,,Flanker,Bath Rugby,,,,,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
A. Bell,,Lock,Exeter Chiefs,,,,,,,,,,,,Exeter Chiefs (2025 - ),,,,Exeter Chiefs (2025 - ),,,,,,,premiership
A. Benson,,Flanker,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
A. Boshoff,,Wing,Bristol Bears,,,,,,,,,,,,Bristol Bears (2025 - ),,,,Bristol Bears (2025 - ),,,,,,,premiership
A. Bradshaw,,Wing,Sale Sharks,,,,,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
A. Brocklebank,,Prop,Newcastle Falcons,,,,,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
A. Caqusau,,Wing,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
A. Clarey,,Prop,Saracens,,,,,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
A. Emens,,Wing,Bath Rugby,,,,,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
A. Evans-Fecci,,Prop,Exeter Chiefs,,,,,,,,,,,,Exeter Chiefs (2025 - ),,,,Exeter Chiefs (2025 - ),,,,,,,premiership
A. Fasogbon,,Prop,Gloucester Rugby,,,,,,,,,,,,Gloucester Rugby (2025 - ),,,,Gloucester Rugby (2025 - ),,,,,,,premiership
A. Green,,Flanker,Bath Rugby,,,,,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
A. Hall,,Centre,Saracens,,,,,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
A. Heaney,,Prop,Harlequins,,,,,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
A. Hearle,,Centre,Newcastle Falcons,,,,,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
A. Longstaff,,Hooker,Sale Sharks,,,,,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
A. McArthur,,Prop,Gloucester Rugby,,,,,,,,,,,,Gloucester Rugby (2025 - ),,,,Gloucester Rugby (2025 - ),,,,,,,premiership
