英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Shinichi Tanaka,田中 真一,FL,九州電力キューデンヴォルテクス（2025-26）,186,98,1994.06.08,31,國學院久我山高校,明治大学,國學院久我山 明治,A,6,https://league-one.jp/player/483678,,,高校('12),,,Kyūshu Kyuden Voltex (2025 - 2026) -> BlackRams Tokyo (2022 - 2025) -> Yokohama Canon Eagles (2017 - 2022)
Rahboni Warren-Vosayaco,ラーボニ ・ウォーレンーボスアヤコ,No8,九州電力キューデンヴォルテクス（2025-26）,188,103,1995.09.28,30,エンデバースポーツ,,Endeavorsportshighschool,B,2,https://league-one.jp/player/483679,,,,,,Kyūshu Kyuden Voltex (2025 - 2026) -> CA Brive Corrèze Limousin (2023 - 2025) -> Western Force (2022 - 2023) -> New South Wales Waratahs (2021 - 2022) -> Munakata Sanix Blues (2021 - 2021) -> New South Wales Waratahs (2020 - 2020) -> Munakata Sanix Blues (2019 - 2020) -> Sunwolves (2016 - 2019)
Jude Gibbs,ジュード ・ギブス,SO,九州電力キューデンヴォルテクス（2025-26）,178,87,2001.07.02,24,セントジョセフ・カレッジ,UniversityofTechnologySydney,SaintJoseph’sCollegeHuntersHill UniversityofTechnologySydney,B,0,https://league-one.jp/player/483680,,,,,,Kyūshu Kyuden Voltex (2025 - 2026) -> Queensland Reds (2024 - 2025) -> Northern Suburbs RFC (2022 - 2024) -> Sydney University Football Club (2021 - 2022)
Pepesana Patafilo,ペペサナ ・パタフィロ,CTB,九州電力キューデンヴォルテクス（2025-26）,181,96,1996.05.29,29,ウエリントンカレッジ,,ウエリントンカレッジ,B,3,https://league-one.jp/player/483681,,,,,,Kyūshu Kyuden Voltex (2025 - 2026) -> Moana Pasifika (2024 - 2025) -> Wellington Lions (2024 - 2024) -> Moana Pasifika (2024 - 2024) -> Wellington Lions (2023 - 2023) -> Moana Pasifika (2023 - 2023) -> Wellington Lions (2023 - 2023) -> Crusaders (2023 - 2023) -> Wellington Lions (2022 - 2022) -> Crusaders (2022 - 2022) -> Wellington Lions (2022 - 2022) -> Hurricanes (2022 - 2022) -> Wellington Lions (2021 - 2021) -> Hurricanes (2021 - 2021) -> Wellington Lions (2021 - 2021) -> Hurricanes (2021 - 2021) -> Wellington Lions (2020 - 2020) -> Hurricanes (2020 - 2020) -> Wellington Lions (2018 - 2020) -> Waikato Mooloos (2017 - 2018)
Hiroto Nishi,西 浩斗,WTB,九州電力キューデンヴォルテクス（2025-26）,170,75,2002.11.16,23,熊本西高校,京都産業大学,熊本西 京都産業,A,0,https://league-one.jp/player/483682,,,,,,Kyūshu Kyuden Voltex (2025 - 2026) -> Kyoto Sangyo University (2024 - 2025)
Kouga Yoshida,吉田 輝雅,CTB,九州電力キューデンヴォルテクス（2025-26）,177,82,2002.11.21,23,東海大相模原高校,明治大学,東海大相模原 明治,A,0,https://league-one.jp/player/483683,,,,,,Kyūshu Kyuden Voltex (2025 - 2026) -> Meiji University (2024 - 2025)
Kanta Fujita,藤田 幹太,HO,九州電力キューデンヴォルテクス（2025-26）,175,96,2003.03.26,22,筑紫高校,日本体育大学,筑紫 日本体育,A,0,https://league-one.jp/player/483684,,,,,,Kyūshu Kyuden Voltex (2025 - 2026) -> Nippon Sport Science University (2024 - 2025)
Kohei Kire,喜連 航平,SO,九州電力キューデンヴォルテクス（2025-26）,176,85,1995.06.25,30,大阪桐蔭高校,近畿大学,大阪桐蔭 近畿,A,11,https://league-one.jp/player/483685,,,,,,Kyūshu Kyuden Voltex (2024 - 2026)
Hiroki Murakawa,村川 浩喜,HO,九州電力キューデンヴォルテクス（2025-26）,175,98,1992.01.19,33,東福岡高校,筑波大学,東福岡 筑波,A,32,https://league-one.jp/player/483686,,,U20('11),,,Kyūshu Kyuden Voltex (2024 - 2026) -> Toyota Industries Shuttles Aichi (2021 - 2024)
Sione Likuata Teaupa,シオネ ・リクアタテアウパ,CTB,九州電力キューデンヴォルテクス（2025-26）,180,99,1998.06.27,27,トゥポウカレッジ,流通経済大学,トゥポウカレッジ 流通経済大学,A,28,https://league-one.jp/player/483687,,,,,,Kyūshu Kyuden Voltex (2023 - 2026)
