Player_Name,Full_Name,選手名_カタカナ,Position,Current_Team,League,Height,Weight,Birth_Date,Age,Nationality,Representative_Caps,Scraped_Url,キャリア遍歴,High_School,University
Cheslin Kolbe,チェスリン コルヒ,チェスリン コルヒ,WTB,東京サントリーサンゴリアス（2025-26）,league-one,172.0,80.0,1993.10.28,32.0,選手名,South Africa (26),https://league-one.jp/player/486282,スタッド・トゥールーザン (2017 - 2021) -> トゥーロン (2021 - 2023) -> 東京サントリーサンゴリアス (2023 - ),ブラッケンフェル,フリーステート大学
Kohei Horigome,堀米 航平,堀米 航平,SO,リコーブラックラムズ東京（2025-26）,league-one,177.0,89.0,1995.09.18,30.0,,高校('13),https://league-one.jp/player/484898,リコーブラックラムズ東京 (2021 - ),流通経済大学柏高校,明治大学
Chihiro Matsuyama,松山 千大,松山 千大,CTB,トヨタヴェルブリッツ（2025-26）,league-one,173.0,88.0,2001.01.05,25.0,,高校('18),https://league-one.jp/player/485511,トヨタヴェルブリッツ (2023 - ),大阪桐蔭高校,帝京大学
Towa Taniguchi,谷口 永遠,谷口 永遠,HO,日野レッドドルフィンズ（2025-26）,league-one,173.0,108.0,2001.02.22,24.0,,U23('20),https://league-one.jp/player/484583,日野レッドドルフィンズ (2023 - ),関西大学北陽高校,天理大学
Yasue Yoshimitsu,安江 祥光,安江 祥光,HO,クボタスピアーズ船橋・東京ベイ（2025-26）,league-one,176.0,109.0,1984.08.25,41.0,,日本代表(2),https://league-one.jp/player/483732,三菱重工相模原ダイナボアーズ (2021 - 2025) -> クボタスピアーズ船橋・東京ベイ (2025 - ),帝京高校,帝京大学
Keisuke Yamazoe,山添 圭祐,山添 圭祐,HO,九州電力キューデンヴォルテクス（2025-26）,league-one,177.0,102.0,2000.07.01,25.0,,高校('18),https://league-one.jp/player/483691,九州電力キューデンヴォルテクス (2023 - ),長崎北陽台高校,帝京大学
Taishi Nakamura,中村 大志,中村 大志,LO,豊田自動織機シャトルズ愛知（2025-26）,league-one,189.0,110.0,1995.09.05,30.0,,高校('13),https://league-one.jp/player/484431,豊田自動織機シャトルズ愛知 (2021 - ),大阪桐蔭高校,筑波大学
Kotaro Hosoki,細木 康太郎,細木 康太郎,PR,東京サントリーサンゴリアス（2025-26）,league-one,178.0,115.0,2000.01.28,26.0,,高校('17),https://league-one.jp/player/484318,東京サントリーサンゴリアス (2022 - ),桐蔭学園高校,帝京大学
Kippei Ishida,石田 吉平,石田 吉平,WTB,横浜キヤノンイーグルス（2025-26）,league-one,167.0,74.0,2000.04.28,25.0,,セブンズ日本(20)、日本代表(9),https://league-one.jp/player/484853,横浜キヤノンイーグルス (2024 - ),常翔学園高校,明治大学
Kosuke Horikoshi,堀越 康介,堀越 康介,HO,東京サントリーサンゴリアス（2025-26）,league-one,175.0,100.0,1995.06.02,30.0,,"高校('12)、U20('15)、U23('15,'17)、日本代表(7)",https://league-one.jp/player/484334,東京サントリーサンゴリアス (2018 - ),桐蔭学園高校,帝京大学
Michiro Takai,高井 迪郎,高井 迪郎,FL/No8,九州電力キューデンヴォルテクス（2025-26）,league-one,187.0,99.0,1989.12.13,36.0,,U20('08)、セブンズ日本(1),https://league-one.jp/player/483709,Kyushu Kyuden Voltex (2012 - ),大分舞鶴高校,日本体育大学
