title,title_en,position,team_name,height,weight,birthday,age,school,shusshin,shikaku,type,url,career_history,caps,representative_team,scraped_url,career_history_en,name_en,name_jp,league
A. Barbeary,A. Barbeary,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),A. Barbeary,,premiership
Josh Bayliss,Josh Bayliss,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Josh Bayliss,,premiership
J. Bennett,J. Bennett,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),J. Bennett,,premiership
J. Coetzee,J. Coetzee,No. 8,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),J. Coetzee,,premiership
T. Cowan,T. Cowan,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),T. Cowan,,premiership
H. Cuckson,H. Cuckson,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),H. Cuckson,,premiership
C. Donoghue,C. Donoghue,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),C. Donoghue,,premiership
Tom Dunn,Tom Dunn,Hooker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Tom Dunn,,premiership
I. Emanuel,I. Emanuel,Prop,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),I. Emanuel,,premiership
Charlie Ewels,Charlie Ewels,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Charlie Ewels,,premiership
D. Frost,D. Frost,Hooker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),D. Frost,,premiership
A. Green,A. Green,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),A. Green,,premiership
Archie Griffin,Archie Griffin,Prop,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Archie Griffin,,premiership
Archie Griffin,Archie Griffin,Prop,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Archie Griffin,,premiership
Ted Hill,Ted Hill,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Ted Hill,,premiership
W. Jeanes,W. Jeanes,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),W. Jeanes,,premiership
S. Kirk,S. Kirk,Prop,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),S. Kirk,,premiership
J. Maloney,J. Maloney,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),J. Maloney,,premiership
R. Molony,R. Molony,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),R. Molony,,premiership
Beno Obano,Beno Obano,Prop,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Beno Obano,,premiership
E. Opoku Gyamfi,E. Opoku Gyamfi,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),E. Opoku Gyamfi,,premiership
M. Pearce,M. Pearce,Hooker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),M. Pearce,,premiership
Guy Pepper,Guy Pepper,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Guy Pepper,,premiership
M. Reid,M. Reid,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),M. Reid,,premiership
E. Richards,E. Richards,Flanker,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),E. Richards,,premiership
A. Ridgway,A. Ridgway,No. 8,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),A. Ridgway,,premiership
Quinn Roux,Quinn Roux,Lock,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),Quinn Roux,,premiership
B. Sela,B. Sela,Prop,Bath Rugby,,,,,,,,A,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),B. Sela,,premiership
