name_en,first_name,last_name,position,team,league
A. Barbeary,A.,Barbeary,Flanker,Bath Rugby,premiership
J. Bayliss,J.,Bayliss,Flanker,Bath Rugby,premiership
J. Bennett,J.,Bennett,Lock,Bath Rugby,premiership
J. Coetzee,J.,Coetzee,No. 8,Bath Rugby,premiership
T. Cowan,T.,Cowan,Flanker,Bath Rugby,premiership
H. Cuckson,H.,Cuckson,Lock,Bath Rugby,premiership
C. Donoghue,C.,Donoghue,Flanker,Bath Rugby,premiership
T. Dunn,T.,Dunn,Hooker,Bath Rugby,premiership
I. Emanuel,I.,Emanuel,Prop,Bath Rugby,premiership
C. Ewels,C.,Ewels,Lock,Bath Rugby,premiership
D. Frost,D.,Frost,Hooker,Bath Rugby,premiership
A. Green,A.,Green,Flanker,Bath Rugby,premiership
A. Griffin,A.,Griffin,Prop,Bath Rugby,premiership
A. Griffin,A.,Griffin,Prop,Bath Rugby,premiership
T. Hill,T.,Hill,Flanker,Bath Rugby,premiership
W. Jeanes,W.,Jeanes,Lock,Bath Rugby,premiership
S. Kirk,S.,Kirk,Prop,Bath Rugby,premiership
J. Maloney,J.,Maloney,Lock,Bath Rugby,premiership
R. Molony,R.,Molony,Lock,Bath Rugby,premiership
B. Obano,B.,Obano,Prop,Bath Rugby,premiership
E. Opoku Gyamfi,E.,Opoku Gyamfi,Lock,Bath Rugby,premiership
M. Pearce,M.,Pearce,Hooker,Bath Rugby,premiership
G. Pepper,G.,Pepper,Flanker,Bath Rugby,premiership
M. Reid,M.,Reid,Flanker,Bath Rugby,premiership
E. Richards,E.,Richards,Flanker,Bath Rugby,premiership
A. Ridgway,A.,Ridgway,No. 8,Bath Rugby,premiership
Q. Roux,Q.,Roux,Lock,Bath Rugby,premiership
B. Sela,B.,Sela,Prop,Bath Rugby,premiership
J. Spandler,J.,Spandler,Hooker,Bath Rugby,premiership
E. Staddon,E.,Staddon,Flanker,Bath Rugby,premiership
W. Stuart,W.,Stuart,Prop,Bath Rugby,premiership
M. Summerfield,M.,Summerfield,Prop,Bath Rugby,premiership
G. Timmins,G.,Timmins,Flanker,Bath Rugby,premiership
C. Treacey,C.,Treacey,Flanker,Bath Rugby,premiership
K. Tuipulotu,K.,Tuipulotu,Hooker,Bath Rugby,premiership
S. Underhill,S.,Underhill,Flanker,Bath Rugby,premiership
K. Verden,K.,Verden,Prop,Bath Rugby,premiership
T. du Toit,T.,du Toit,Prop,Bath Rugby,premiership
F. van Wyk,F.,van Wyk,Prop,Bath Rugby,premiership
H. Arundell,H.,Arundell,Wing,Bath Rugby,premiership
W. Butt,W.,Butt,Centre,Bath Rugby,premiership
T. Carr-Smith,T.,Carr-Smith,Scrum-half,Bath Rugby,premiership
S. Carreras,S.,Carreras,Fullback,Bath Rugby,premiership
J. Cokanasiga,J.,Cokanasiga,Wing,Bath Rugby,premiership
I. Davies,I.,Davies,Scrum-half,Bath Rugby,premiership
A. Emens,A.,Emens,Wing,Bath Rugby,premiership
C. Griffin,C.,Griffin,Centre,Bath Rugby,premiership
S. Harris,S.,Harris,Fly-half,Bath Rugby,premiership
C. Harris,C.,Harris,Centre,Bath Rugby,premiership
J. Harrison,J.,Harrison,Centre,Bath Rugby,premiership
L. Hennessey,L.,Hennessey,Centre,Bath Rugby,premiership
O. Lawrence,O.,Lawrence,Centre,Bath Rugby,premiership
J. Linegar,J.,Linegar,Fly-half,Bath Rugby,premiership
T. Mason,T.,Mason,Centre,Bath Rugby,premiership
I. Mears,I.,Mears,Scrum-half,Bath Rugby,premiership
W. Muir,W.,Muir,Wing,Bath Rugby,premiership
T. Offiah,T.,Offiah,Wing,Bath Rugby,premiership
M. Ojomoh,M.,Ojomoh,Centre,Bath Rugby,premiership
C. Redpath,C.,Redpath,Centre,Bath Rugby,premiership
W. Roue,W.,Roue,Fly-half,Bath Rugby,premiership
