Name,DOB
Matias Alemanno,1991-12-05
Charlie Atkinson,2001-10-06
Seb Atkinson,2002-05-21
Mike Austin,2000-11-30
George Barton,2000-11-07
Jono Benz-Salomon,2000-11-30
Seb Blake,2001-10-05
Dian Bleuler,1999-08-05
Hugh Bokenham,2000-07-21
Manaaki Boyle-Tiatia,1999-11-24
Will Butler,2000-07-21
Ross Byrne,1995-04-08
Arthur Clark,2001-12-19
Jack Clement,2001-02-27
Caolan Englefield,1999-11-01
Afolabi Fasogbon,2004-08-24
Jamal Ford-Robinson,1993-09-11
Josh Hathaway,2004-10-19
Jack Innard,1995-07-03
Cameron Jordan,1999-11-17
Will Joseph,2002-07-15
Ciaran Knight,1998-03-19
Nepo Laulala,1991-06-11
Ben Loader,1998-11-08
Lewis Ludlow,1994-09-11
Jack Mann,1999-11-17
Archie McArthur,2003-06-11
Jake Morris,2000-05-12
Val Rapava-Ruskin,1992-10-12
Ben Redshaw,2005-01-10
Rob Russell,1999-01-13
Jack Singleton,1996-05-14
Harry Taylor,2001-09-09
Freddie Thomas,2001-11-09
James Venter,1996-08-21
Will Trenholm,2001-09-06
Josh Basham,1999-04-17
Tomos Williams,1995-01-01
Ollie Thorley,1996-09-11
Max Llewellyn,1999-01-13
Danny Eite,2003-06-28
Kirill Gotovtsev,1987-07-17
Christian Wade,1991-05-15
Gareth Anscombe,1991-05-10
