Name,DOB
Cameron Anderson,1999-09-16
Fin Baxter,2002-02-12
Oscar Beard,2001-11-20
Jamie Benson,2002-09-23
Bryn Bradley,2003-04-17
James Chisholm,1995-08-11
Cassius Cleaves,2003-03-15
Chandler Cunningham-South,2003-03-18
Nick David,1998-11-04
Pedro Delgado,1997-09-01
Alex Dombrandt,1997-04-29
Jordan Els,1997-06-11
Will Evans,1997-01-28
Jarrod Evans,1996-07-25
Jack Grant,1994-01-24
Tyrone Green,1998-03-05
Jonny Green,2004-03-16
Max Green,1996-02-13
Will Hobson,2002-11-09
Hayden Hyde,2000-09-15
Rodrigo Isgro,1999-03-24
Joe Jones,1995-07-24
Jack Kenningham,1999-11-19
Sean Kerr,2004-11-08
Simon Kerrod,1992-08-25
