Full_Name,Position,Age,Height,Weight,Team,League,Source_URL
Alex HERNANDEZ,Prop,24 y/o,18/02/2002,1.88 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/alex-hernandez
Dan HANSON,Prop,27 y/o,02/03/1999,1.83 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/dan-hanson
Jake TURNBULL,Prop,32 y/o,17/07/1993,1.88 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/jake-turnbull
Quinton TINDEL,Prop,24 y/o,09/09/2001,1.83 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/quinton-tindel
Stephan BERNAL-WENDT,Prop,26 y/o,25/04/1999,1.85 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/stephan-bernal-wendt
Alex MAUGHAN,Hooker,30 y/o,24/04/1995,1.83 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/alex-maughan
Connor ROBINSON,Hooker,26 y/o,12/07/1999,1.78 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/connor-robinson
Declan MOORE,Hooker,29 y/o,15/09/1996,1.84 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/declan-moore
Ethan HOWARD,Hooker,24 y/o,20/12/2001,1.83 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/ethan-howard
Neil TRAINOR,Hooker,25 y/o,20/03/2001,1.80 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/neil-trainor
Javon CAMP-VILLALOVOS,Lock,27 y/o,05/02/1999,1.98 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/javon-camp-villalovos
Le'Donn MATHIS,Lock,24 y/o,28/08/2001,1.94 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/le-donn-mathis
Rhys MITCHELL,Lock,21 y/o,//2005,1.99 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/rhys-mitchell
Sam GOLLA,Lock,26 y/o,07/05/1999,1.93 m,The Anthem Rugby Carolina rugby team for 2024/2025,MLR,https://all.rugby/player/sam-golla
