date,home_team,away_team,home_score,away_score,league
"Saturday, March 2, 2024",Nola,Old Glory,18,6,MLR
"Sunday, March 3, 2024",Houston,Utah,22,15,MLR
"Sunday, March 3, 2024",Seattle,San Diego,25,19,MLR
"Sunday, March 3, 2024",Miami,Chicago,19,23,MLR
"Monday, March 4, 2024",Anthem RC,New England,13,46,MLR
"Monday, March 4, 2024",Los Angeles,Dallas,29,32,MLR
"Saturday, March 9, 2024",New England,Old Glory,34,35,MLR
"Saturday, March 9, 2024",Nola,Anthem RC,34,19,MLR
"Saturday, March 9, 2024",Utah,Chicago,29,15,MLR
"Sunday, March 10, 2024",Seattle,Miami,29,18,MLR
"Sunday, March 10, 2024",Dallas,San Diego,23,30,MLR
"Sunday, March 10, 2024",Los Angeles,Houston,12,27,MLR
"Saturday, March 16, 2024",New England,Nola,27,21,MLR
"Saturday, March 16, 2024",Old Glory,Chicago,22,22,MLR
"Sunday, March 17, 2024",Houston,Miami,30,19,MLR
"Sunday, March 17, 2024",Utah,Seattle,13,23,MLR
"Sunday, March 17, 2024",San Diego,Los Angeles,19,18,MLR
"Sunday, March 17, 2024",Anthem RC,Dallas,28,68,MLR
"Saturday, March 23, 2024",Seattle,Houston,40,42,MLR
"Saturday, March 23, 2024",Old Glory,San Diego,11,27,MLR
"Sunday, March 24, 2024",Miami,Anthem RC,50,21,MLR
"Sunday, March 24, 2024",Dallas,Nola,22,35,MLR
"Sunday, March 24, 2024",Chicago,New England,17,22,MLR
"Sunday, March 24, 2024",Los Angeles,Utah,36,32,MLR
"Saturday, March 30, 2024",Dallas,Houston,27,30,MLR
"Saturday, March 30, 2024",Chicago,Seattle,26,34,MLR
"Saturday, March 30, 2024",Anthem RC,Old Glory,32,46,MLR
"Monday, April 1, 2024",Miami,San Diego,21,22,MLR
"Saturday, April 6, 2024",Utah,Anthem RC,44,19,MLR
"Saturday, April 6, 2024",Seattle,Dallas,34,32,MLR
"Saturday, April 6, 2024",Nola,Chicago,21,38,MLR
"Saturday, April 6, 2024",New England,Miami,25,3,MLR
"Saturday, April 6, 2024",Old Glory,Los Angeles,22,22,MLR
"Saturday, April 13, 2024",Dallas,Utah,22,20,MLR
"Sunday, April 14, 2024",Houston,New England,35,47,MLR
"Sunday, April 14, 2024",San Diego,Nola,33,20,MLR
"Sunday, April 14, 2024",Chicago,Anthem RC,59,26,MLR
"Monday, April 15, 2024",Los Angeles,Seattle,5,36,MLR
"Saturday, April 20, 2024",New England,Seattle,21,29,MLR
