name_en,name_jp,title,representative_team,latest_caps,last_club,tournaments,league
10,,10,Player representation by club,0,"Suntory Sungoliath,  Aironi,  Reds,  Sale Sharks,  Scarlets,  Stade Français","Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019",international
10,,10,Player representation by league,15,1.5%,Rugby World Cup 2023,international
10,,10,Players representation by league,16,1.6%,Rugby World Cup 2019,international
103,,103,Player representation by league,72,72,Rugby World Cup 2015,international
105,,105,Player representation by league,13,13,Rugby World Cup 2011,international
106,,106,Player representation by league,160,16.0%,Rugby World Cup 2023,international
11,,11,Player representation by club,0,"Leicester Tigers,  Ospreys","Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
11,,11,Player representation by league,0,—,Rugby World Cup 2015,international
118,,118,Players representation by league,190,19.0%,Rugby World Cup 2019,international
12,,12,Player representation by club,0,"Benetton Treviso,  Crusaders,  Montpellier","Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019",international
121,,121,Player representation by league,90,90,Rugby World Cup 2015,international
126,,126,Player representation by league,96,96,Rugby World Cup 2011,international
13,,13,Player representation by club,0,"Clermont,  Toulouse","Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
13,,13,Player representation by league,0,—,Rugby World Cup 2015,international
13,,13,Player representation by nation,2,2,Rugby World Cup 2019,international
13,,13,Players representation by league,20,2.0%,Rugby World Cup 2019,international
132,,132,Player representation by league,200,20.0%,Rugby World Cup 2023,international
14,,14,Player representation by club,0,"Leinster,  VVA Podmoskovye","Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019",international
14,,14,Player representation by league,21,2.1%,Rugby World Cup 2023,international
15,,15,Player representation by club,0,Saracens,"Rugby World Cup 2019, Rugby World Cup 2023",international
155,,155,Player representation by nation,122,122,Rugby World Cup 2023,international
158 Players,,158 Players,By tournaments,1,1,Rugby World Cup 2015,international
16,,16,Player representation by club,0,Saracens,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
16,,16,Player representation by league,24,2.4%,Rugby World Cup 2023,international
