Name,Birthday
"Cleopas Kundiona","1998-12-15"
"Danilo Fischetti","1998-01-26"
"Elliot Millar Mills","1992-08-07"
"Emmanuel Iyogun","2000-11-24"
"Joe Cowell","2002-06-01"
"Luke Green","2001-06-05"
"Tom West","1996-11-02"
"Trevor Davison","1992-08-20"
"Will Davies King","1998-07-28"
"Craig Wright","2004-XX-XX"
"Curtis Langdon","1997-03-08"
"Henry Walker","1998-10-03"
"Marco Manfredi","1997-09-18"
"Robbie Smith","1998-09-26"
"Alex Coles","1999-09-21"
"Chunya Munga","2000-02-09"
"Emeka Atuanya","2003-03-17"
"Jj Van Der Mescht","1999-04-05"
"Tom Lockett","2002-10-06"
"Archie Benson","2001-08-18"
"Callum Chick","1996-11-25"
"Fyn Brown","2002-10-11"
"Henry Pollock","2005-XX-XX"
"Jack Kelleher","2001-08-10"
"Josh Kemeny","1998-11-29"
"Sam Graham","1997-07-06"
"Tom Pearson","1999-10-26"
"Alex Mitchell","1997-05-25"
"Archie Mcparland","2005-XX-XX"
"Tom James","1993-10-12"
"Anthony Belleau","1996-04-08"
"Fin Smith","2002-05-11"
"Fraser Dingwall","1999-04-07"
"Rory Hutchinson","1996-01-29"
"Toby Thame","2003-11-08"
"Tom Litchfield","2002-04-20"
"Amena Caqusau","2004-XX-XX"
"James Martin","1999-07-31"
"James Ramm","1998-04-30"
"Ollie Sleightholme","2000-04-13"
"George Furbank","1996-10-17"
"George Hendy","2002-10-15"
"Tommy Freeman","2001-03-05"
"Ollie Scola","2006-XX-XX"
"Sonny Tonga Uiha","2006-XX-XX"
"Aiden Ainsworth Cave","2006-07-21"
"Archie Appleby","2007-XX-XX"
"Ed Prowse","2000-10-27"
"Jack Lawrence","2007-XX-XX"
"James Bennett","2003-07-10"
"Charlie Ulcoq","2006-XX-XX"
"Siep Walta","2006-XX-XX"
"Aidan Pugh","2006-XX-XX"
"Jonny Weimann","2006-XX-XX"
"Billy Pasco","2005-XX-XX"
"Edoardo Todaro","2006-XX-XX"
"Freddie St John","2007-XX-XX"
"Henry Lumley","2007-XX-XX"
"Tom Rowe","2005-XX-XX"
"Will Glister","2005-XX-XX"
"James Pater","2007-XX-XX"
"Angus Scott Young","1997-04-23"
