nationality,place_of_birth,birth_date,scraped_url,player_name
Scotland,,,https://all.rugby/player/zander-fagerson,Zander FAGERSON
,,,https://all.rugby/player/zak-burger,Zak BURGER
,,,https://all.rugby/player/zack-henry,Zack HENRY
,,,https://all.rugby/player/zachary-porthen,Zach PORTHEN
England,,,https://all.rugby/player/zach-mercer,Zach MERCER
,,,https://all.rugby/player/zac-ward,Zac WARD
,,,https://all.rugby/player/youri-delhommel,Youri DELHOMMEL
France,,,https://all.rugby/player/yoram-moefana,Yoram MOEFANA
,,,https://all.rugby/player/yohan-orabe,Yohan ORABÉ
,,,https://all.rugby/player/yoan-tanga,Yoan TANGA
,,,https://all.rugby/player/yestyn-cook,Yestyn COOK
,,,https://all.rugby/player/yerim-fall,Yérim FALL
,,,https://all.rugby/player/yaw-penxe,Yaw PENXE
,,,https://all.rugby/player/yanis-lux,Yanis LUX
,,,https://all.rugby/player/yanis-basse,Yanis BASSE
France,,,https://all.rugby/player/yacouba-camara,Yacouba CAMARA
,,,https://all.rugby/player/xan-mousques,Xan MOUSQUÈS
Wales,,,https://all.rugby/player/wyn-jones,Wyn JONES
,,,https://all.rugby/player/wj-steenkamp,WJ STEENKAMP
South Africa,,,https://all.rugby/player/willie-le-roux,Willie LE ROUX
,,,https://all.rugby/player/william-greatbanks,Will GREATBANKS
,,,https://all.rugby/player/willem-van-den-hever,Willem VAN DEN HEVER
New Zealand,,,https://all.rugby/player/will-skelton,Will SKELTON
England,,,https://all.rugby/player/will-rowlands,Will ROWLANDS
,,,https://all.rugby/player/will-evans,Will EVANS
England,,,https://all.rugby/player/will-collier,Will COLLIER
,,,https://all.rugby/player/wilhelm-de-klerk,Wilhelm DE KLERK
,,,https://all.rugby/player/wilfried-hulleu,Wilfried HULLEU
,,,https://all.rugby/player/wilfrid-hounkpatin,Wilfrid HOUNKPATIN
South Africa,,,https://all.rugby/player/wilco-louw,Wilco LOUW
,,,https://all.rugby/player/wes-goosen,Wes GOOSEN
,,,https://all.rugby/player/werner-kok,Werner KOK
,,,https://all.rugby/player/wayan-de-benedittis,Wayan DE BENEDITTIS
South Africa,,,https://all.rugby/player/warrick-gelant,Warrick GELANT
,,,https://all.rugby/player/wandisile-simelane,Wandisile SIMELANE
,,,https://all.rugby/player/wandile-mlaba,Wandile MLABA
,,,https://all.rugby/player/wame-naituvi,Wame NAITUVI
,,,https://all.rugby/player/vuate-karawalevu,Vuate KARAWALEVU
,,,https://all.rugby/player/vladi-ashvetia,Vladi ASHVETIA
,,,https://all.rugby/player/vincent-tshituka,Vincent TSHITUKA
France,,,https://all.rugby/player/vincent-rattez,Vincent RATTEZ
South Africa,,,https://all.rugby/player/vincent-koch,Vincent KOCH
,,,https://all.rugby/player/vincent-giudicelli,Vincent GIUDICELLI
,,,https://all.rugby/player/vinaya-habosi,Vinaya HABOSI
,,,https://all.rugby/player/vilimoni-botitu,Vilimoni BOTITU
,,,https://all.rugby/player/victor-montgaillard,Victor MONTGAILLARD
,,,https://all.rugby/player/victor-hannoun,Victor HANNOUN
,,,https://all.rugby/player/vernon-paulo,Vernon PAULO
,,,https://all.rugby/player/vernon-matongo,Vernon MATONGO
,,,https://all.rugby/player/veresa-tuqovu,Veresa Tuqovu RAMOTOTABUA
,,,https://all.rugby/player/valentin-hutteau,Valentin HUTTEAU
Australia,,,https://all.rugby/player/ulupano-seuteni,Ulupano SEUTENI
"Ireland, France",,,https://all.rugby/player/ultan-dillane,Ultan DILLANE
,,,https://all.rugby/player/ugo-seunes,Ugo SEUNES
,,,https://all.rugby/player/ugo-pacome,Ugo PACOME
,,,https://all.rugby/player/ugo-boniface,Ugo BONIFACE
Canada,,,https://all.rugby/player/tyler-duguid,Tyler DUGUID
Canada,,,https://all.rugby/player/tyler-ardron,Tyler ARDRON
"New Zealand, Samoa",,,https://all.rugby/player/tumua-manu,Tumua MANU
,,,https://all.rugby/player/tristan-tedder,Tristan TEDDER
,,,https://all.rugby/player/tristan-davies,Tristan DAVIES
South Africa,,,https://all.rugby/player/trevor-nyakane,Trevor NYAKANE
,,,https://all.rugby/player/tony-butler,Tony BUTLER
Italy,,,https://all.rugby/player/tommy-allan,Tommaso ALLAN
Italy,,,https://all.rugby/player/tommaso-menoncello,Tommaso MENONCELLO
,,,https://all.rugby/player/tommaso-di-bartolomeo,Tommaso DI BARTOLOMEO
,,,https://all.rugby/player/tomi-lewis,Tomi LEWIS
,,,https://all.rugby/player/tomas-medina,Tomás MEDINA
,,,https://all.rugby/player/tomas-farthing,Tomás FARTHING
Argentina,,,https://all.rugby/player/tomas-albornoz,Tomás ALBORNOZ
Tonga,,,https://all.rugby/player/toma-akino-taufa,Toma'Akino TAUFA
Wales,,,https://all.rugby/player/tom-young,Tom YOUNG
,,,https://all.rugby/player/tom-wood-,Tom WOOD
,,,https://all.rugby/player/tom-stewart,Tom STEWART
