Name,Birthday,RepresentativeTeam
"Archie Griffin","2001-07-23","Australia"
"Beno Obano","1994-10-25","England"
"Francois Van Wyk","1991-07-30","South Africa"
"Kieran Verden","1998-06-11","England"
"Mikey Summerfield","2002-10-30","England"
"Thomas Du Toit","1995-05-05","South Africa"
"Will Stuart","1996-12-07","England"
"Dan Frost","1997-04-24","England"
"Jasper Spandler","2003-05-21","England"
"Tom Dunn","1992-12-11","England"
"Charlie Ewels","1995-06-29","England"
"Quinn Roux","1990-10-30","South Africa"
"Ross Molony","1994-11-05","Ireland"
"Alfie Barbeary","2000-05-10","England"
"Ethan Staddon","2002-03-07","England"
"Ewan Richards","2002-05-04","England"
"Guy Pepper","2003-04-15","England"
"Jaco Coetzee","1996-10-06","South Africa"
"Josh Bayliss","1997-09-18","England"
"Miles Reid","1998-06-09","England"
"Sam Underhill","1996-07-22","England"
"Ted Hill","1999-03-26","England"
"Tom Cowan","2002-02-08","England"
"Ben Spencer","1992-07-31","England"
"Bernard Van Der Linde","2000-11-30","South Africa"
"Neil Le Roux","2003-04-16","South Africa"
"Tom Carr Smith","2002-02-28","England"
"Finn Russell","1992-09-23","Scotland"
"Santiago Carreras","1998-03-30","Argentina"
"Cameron Redpath","1999-12-23","Scotland"
"Chris Harris","1990-12-28","England"
"Louie Hennessey","---","Wales"
"Max Ojomoh","2000-09-13","England"
"Ollie Lawrence","1999-09-18","England"
"Will Butt","2000-01-15","England"
"Joe Cokanasiga","1997-11-15","Fiji"
"Will Muir","1995-10-30","England"
"Austin Emens","2002-09-02","England"
"Ciaran Donoghue","2003-07-01","England"
"Henry Arundell","2002-08-11","England"
"Sam Harris","2003-03-09","England"
"Tom De Glanville","1999-10-12","England"
"Alfie Griffin","---","England"
"Billy Sela","---","England"
"Claudius Wheeler","---","England"
"Henry Mountford","---","England"
"Scott Kirk","2004-01-30","England"
"Kepu Tuipulotu","---","Wales"
"Oscar Thomas","---","Wales"
"Enoch Opoku Gyamfi","---","Italy"
"Jack Bennett","---","England"
"Alex Ridgway","---","Wales"
"Arthur Green","2004-04-03","England"
"Connor Treacey","---","England"
"George Timmins","---","England"
"James Maloney","---","England"
"Will Jeanes","2004-12-02","England"
"Ieuan Davies","---","Wales"
"James Linegar","---","England"
"Jack Harrison","---","England"
"Tyler Mason","---","England"
"Will Roue","---","England"
"Charlie Griffin","---","England"
"Tyler Offiah","---","England"
"Jack Woods","---","Wales"
"Sam Winters","---","England"
"Ioan Emanuel","---","Wales"
"Max Pearce","---","England"
"Harvey Cuckson","---","England"
"Ellis Genge","1995-02-16","England"
"George Kloska","1999-11-16","England"
"Jake Woolmore","1990-07-12","England"
"Lovejoy Chawatama","1992-08-26","Zimbabwe"
"Max Lahiff","1989-09-12","England"
"Sam Grahamslaw","1999-02-24","England"
"Gabriel Oghre","1998-05-24","England"
"Harry Thacker","1994-02-18","England"
"Will Capon","1999-12-10","England"
