name_en,nationality,team
Thomas du Toit,South Africa,Bath Rugby
Archie Griffin,Wales,Bath Rugby
Beno Obano,England,Bath Rugby
Will Stuart,England,Bath Rugby
Tom Dunn,England,Bath Rugby
Charlie Ewels,England,Bath Rugby
Quinn Roux,Ireland,Bath Rugby
Josh Bayliss,Scotland,Bath Rugby
Ted Hill,England,Bath Rugby
Guy Pepper,England,Bath Rugby
Sam Underhill,England,Bath Rugby
Ben Spencer,England,Bath Rugby
Finn Russell,Scotland,Bath Rugby
Chris Harris,Scotland,Bath Rugby
Louie Hennessey,Wales,Bath Rugby
Ollie Lawrence,England,Bath Rugby
Max Ojomoh,England,Bath Rugby
Cameron Redpath,Scotland,Bath Rugby
Henry Arundell,England,Bath Rugby
Joe Cokanasiga,England,Bath Rugby
Will Muir,England,Bath Rugby
Santiago Carreras,Argentina,Bath Rugby
Ellis Genge,England,Bristol Bears
Gabriel Oghre,England,Bristol Bears
Pedro Rubiolo,Argentina,Bristol Bears
Benjamín Grondona,Argentina,Bristol Bears
Santiago Grondona,Argentina,Bristol Bears
Luka Ivanishvili,Georgia,Bristol Bears
Steven Luatua,Samoa,Bristol Bears
Viliame Mata,Fiji,Bristol Bears
Kieran Marmion,Ireland,Bristol Bears
Harry Randall,England,Bristol Bears
Tom Jordan,Scotland,Bristol Bears
AJ MacGinty,United States,Bristol Bears
Matias Moroni,Argentina,Bristol Bears
Kalaveti Ravouvou,Fiji,Bristol Bears
Louis Rees-Zammit,Wales,Bristol Bears
Benjamín Elizalde,Argentina,Bristol Bears
Scott Sio,Australia,Exeter Chiefs
Bachuki Tchumbadze,Georgia,Exeter Chiefs
Joseph Dweba,South Africa,Exeter Chiefs
Tom Hooper,Australia,Exeter Chiefs
Dafydd Jenkins,Wales,Exeter Chiefs
Andrea Zambonin,Italy,Exeter Chiefs
Ethan Roots,England,Exeter Chiefs
Christ Tshiunza,Wales,Exeter Chiefs
Ross Vintcent,Italy,Exeter Chiefs
Stephen Varney,Italy,Exeter Chiefs
Len Ikitau,Australia,Exeter Chiefs
Henry Slade,England,Exeter Chiefs
Immanuel Feyi-Waboso,England,Exeter Chiefs
Kirill Gotovtsev,Russia,Gloucester Rugby
Nepo Laulala,New Zealand,Gloucester Rugby
Jack Singleton,England,Gloucester Rugby
Matias Alemanno,Argentina,Gloucester Rugby
Arthur Clark,England,Gloucester Rugby
Freddie Thomas,Wales,Gloucester Rugby
Lewis Ludlow,England,Gloucester Rugby
Tomos Williams,Wales,Gloucester Rugby
Charlie Atkinson,England,Gloucester Rugby
Ross Byrne,Ireland,Gloucester Rugby
Seb Atkinson,England,Gloucester Rugby
Will Joseph,England,Gloucester Rugby
Max Llewellyn,Wales,Gloucester Rugby
Ollie Thorley,England,Gloucester Rugby
Josh Hathaway,Wales,Gloucester Rugby
Pedro Delgado,Argentina,Harlequins
Titi Lamositele,Samoa,Harlequins
Boris Wenger,Argentina,Harlequins
Harry Williams,England,Harlequins
George Turner,Scotland,Harlequins
Jack Walker,England,Harlequins
Joe Launchbury,England,Harlequins
Stephan Lewies,South Africa,Harlequins
Guido Petti,Argentina,Harlequins
Kieran Treadwell,Ireland,Harlequins
Chandler Cunningham-South,England,Harlequins
Alex Dombrandt,England,Harlequins
Jarrod Evans,Wales,Harlequins
Oscar Beard,England,Harlequins
Luke Northmore,England,Harlequins
Rodrigo Isgró,Argentina,Harlequins
Cadan Murley,England,Harlequins
Joe Heyes,England,Leicester Tigers
Will Hurd,Scotland,Leicester Tigers
Ale Loman,Sweden,Leicester Tigers
Nicky Smith,Wales,Leicester Tigers
Jamie Blamire,England,Leicester Tigers
Ollie Chessum,England,Leicester Tigers
Cameron Henderson,Scotland,Leicester Tigers
George Martin,England,Leicester Tigers
Harry Wells,England,Leicester Tigers
Olly Cracknell,Wales,Leicester Tigers
Joaquín Moro,Argentina,Leicester Tigers
Tommy Reffell,Wales,Leicester Tigers
Hamish Watson,Scotland,Leicester Tigers
Jack van Poortvliet,England,Leicester Tigers
Solomone Kata,Tonga,Leicester Tigers
Izaia Perese,Australia,Leicester Tigers
Gabriel Hamer-Webb,Wales,Leicester Tigers
Ollie Hassell-Collins,England,Leicester Tigers
Adam Radwan,England,Leicester Tigers
James O'Connor,England,Leicester Tigers
Freddie Steward,England,Leicester Tigers
Eduardo Bello,Argentina,Newcastle Falcons
Murray McCallum,Scotland,Newcastle Falcons
Jamie Hodgson,Scotland,Newcastle Falcons
Amanaki Mafi,Japan,Newcastle Falcons
Simón Benítez Cruz,Argentina,Newcastle Falcons
Sammy Arnold,Ireland,Newcastle Falcons
Christian Wade,England,Newcastle Falcons
Liam Williams,Wales,Newcastle Falcons
Saracens,,Newcastle Falcons
Trevor Davison,England,Northampton Saints
Danilo Fischetti,Italy,Northampton Saints
Cleopas Kundiona,Zimbabwe,Northampton Saints
Elliot Millar Mills,Scotland,Northampton Saints
Curtis Langdon,England,Northampton Saints
Marco Manfredi,Italy,Northampton Saints
Robbie Smith,Scotland,Northampton Saints
Alex Coles,England,Northampton Saints
Callum Chick,England,Northampton Saints
Josh Kemeny,Australia,Northampton Saints
Tom Pearson,England,Northampton Saints
Henry Pollock,England,Northampton Saints
Alex Mitchell,England,Northampton Saints
Anthony Belleau,France,Northampton Saints
Fin Smith,England,Northampton Saints
Fraser Dingwall,England,Northampton Saints
Rory Hutchinson,Scotland,Northampton Saints
Tommy Freeman,England,Northampton Saints
Ollie Sleightholme,England,Northampton Saints
George Furbank,England,Northampton Saints
WillGriff John,Wales,Sale Sharks
Asher Opoku-Fordjour,England,Sale Sharks
Bevan Rodd,England,Sale Sharks
Luke Cowan-Dickie,England,Sale Sharks
Ben Curry,England,Sale Sharks
Tom Curry,England,Sale Sharks
Dan du Preez,South Africa,Sale Sharks
Raffi Quirke,England,Sale Sharks
Gus Warr,Scotland,Sale Sharks
George Ford,England,Sale Sharks
Robert du Preez,South Africa,Sale Sharks
Arron Reed,Scotland,Sale Sharks
Tom Roebuck,England,Sale Sharks
Rhys Carré,Wales,Saracens
Eroni Mawi,Fiji,Saracens
Marco Riccioni,Italy,Saracens
Tietie Tuimauga,Samoa,Saracens
Theo Dan,England,Saracens
Nick Isiekwe,England,Saracens
Theo McFarland,Samoa,Saracens
Juan Martín González,Argentina,Saracens
Andy Onyeama-Christie,Scotland,Saracens
Ivan van Zyl,South Africa,Saracens
Fergus Burke,Scotland,Saracens
Owen Farrell,England,Saracens
Alex Lozowski,England,Saracens
Nick Tompkins,Wales,Saracens
Lucio Cinti,Argentina,Saracens
Max Malins,England,Saracens
