英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Allan ALAALATOA,Allan ALAALATOA,PR,Brumbies,182,120,1994.01.28,,,,,A,0,https://all.rugby/player/allan-alaalatoa,,Brumbies (2013 - 2026),Australia,Australia,https://all.rugby/player/allan-alaalatoa,Brumbies (2013 - 2026)
Blake SCHOUPP,Blake SCHOUPP,PR,Brumbies,180,117,1998.03.28,,,,,A,0,https://all.rugby/player/blake-schoupp,,Southern Districts (2018 - 2022) -> Brumbies (2022 - 2026),,,https://all.rugby/player/blake-schoupp,Southern Districts (2018 - 2022) -> Brumbies (2022 - 2026)
James SLIPPER,James SLIPPER,PR,Brumbies,180,115,1989.06.06,,,,,A,0,https://all.rugby/player/james-slipper,,Queensland Reds (2013 - 2018) -> Brumbies (2018 - 2026),Australia,Australia,https://all.rugby/player/james-slipper,Queensland Reds (2013 - 2018) -> Brumbies (2018 - 2026)
Lington IELI,Lington IELI,PR,Brumbies,183,122,2004..,,,,,A,0,https://all.rugby/player/lington-ieli,,Brumbies (2023 - 2026),,,https://all.rugby/player/lington-ieli,Brumbies (2023 - 2026)
Rhys VAN NEK,Rhys VAN NEK,PR,Brumbies,177,108,1999.07.17,,,,,A,0,https://all.rugby/player/rhys-van-nek,,Easts Rugby Union Club (2019 - 2020) -> Melbourne Rebels (2020 - 2022) -> Brumbies (2022 - 2026),,,https://all.rugby/player/rhys-van-nek,Easts Rugby Union Club (2019 - 2020) -> Melbourne Rebels (2020 - 2022) -> Brumbies (2022 - 2026)
Tevita ALATINI,Tevita ALATINI,PR,Brumbies,189,125,2004..,,,,,A,0,https://all.rugby/player/tevita-alatini,,Brumbies (2023 - 2026),,,https://all.rugby/player/tevita-alatini,Brumbies (2023 - 2026)
Billy POLLARD,Billy POLLARD,HO,Brumbies,185,103,2001.12.09,,,,,A,0,https://all.rugby/player/billy-pollard,,New South Wales Waratahs (2018 - 2019) -> Brumbies (2019 - 2023) -> Stade Rochelais (2023 - 2023) -> Brumbies (2023 - 2023) -> Stade Rochelais (2024 - 2024) -> Brumbies (2024 - 2026),,,https://all.rugby/player/billy-pollard,New South Wales Waratahs (2018 - 2019) -> Brumbies (2019 - 2023) -> Stade Rochelais (2023 - 2023) -> Brumbies (2023 - 2023) -> Stade Rochelais (2024 - 2024) -> Brumbies (2024 - 2026)
Lachlan LONERGAN,Lachlan LONERGAN,HO,Brumbies,180,102,1999.10.11,,,,,A,0,https://all.rugby/player/lachlan-lonergan,,Canberra Vikings (2018 - 2019) -> Brumbies (2019 - 2026),,,https://all.rugby/player/lachlan-lonergan,Canberra Vikings (2018 - 2019) -> Brumbies (2019 - 2026)
Liam BOWRON,Liam BOWRON,HO,Brumbies,183,103,2003.02.24,,,,,A,0,https://all.rugby/player/liam-bowron,,Canberra Royals (2022 - 2023) -> Brumbies (2023 - 2026),,,https://all.rugby/player/liam-bowron,Canberra Royals (2022 - 2023) -> Brumbies (2023 - 2026)
Cadeyrn NEVILLE,Cadeyrn NEVILLE,LO,Brumbies,202,120,1988.11.09,,,,,A,0,https://all.rugby/player/cadeyrn-neville,,Melbourne Rebels (2011 - 2015) -> Queensland Reds (2015 - 2017) -> Toyota Industries Shuttles Aichi (2017 - 2019) -> Brumbies (2019 - 2019) -> Toyota Industries Shuttles Aichi (2020 - 2020) -> Brumbies (2020 - 2026),,,https://all.rugby/player/cadeyrn-neville,Melbourne Rebels (2011 - 2015) -> Queensland Reds (2015 - 2017) -> Toyota Industries Shuttles Aichi (2017 - 2019) -> Brumbies (2019 - 2019) -> Toyota Industries Shuttles Aichi (2020 - 2020) -> Brumbies (2020 - 2026)
Harvey CORDUKES,Harvey CORDUKES,LO,Brumbies,202,115,2004..,,,,,A,0,https://all.rugby/player/harvey-cordukes,,Brumbies (2023 - 2024) -> Provence Rugby (2024 - 2025) -> Brumbies (2025 - 2026),,,https://all.rugby/player/harvey-cordukes,Brumbies (2023 - 2024) -> Provence Rugby (2024 - 2025) -> Brumbies (2025 - 2026)
Lachie SHAW,Lachie SHAW,LO,Brumbies,200,112,2003.05.15,,,,,A,0,https://all.rugby/player/lachlan-shaw,,Université du Queensland (2021 - 2022) -> Brumbies (2022 - 2023) -> Manawatu Turbos (2023 - 2023) -> Brumbies (2024 - 2024) -> Manawatu Turbos (2024 - 2024) -> Brumbies (2024 - 2026),,,https://all.rugby/player/lachlan-shaw,Université du Queensland (2021 - 2022) -> Brumbies (2022 - 2023) -> Manawatu Turbos (2023 - 2023) -> Brumbies (2024 - 2024) -> Manawatu Turbos (2024 - 2024) -> Brumbies (2024 - 2026)
