英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Benjamin BERTRAND,Benjamin BERTRAND,PR,トゥールーズ,180,128,2003.07.25,,,,Stade Toulousain (2009 - 2023) -> Blagnac (2023 - 2023) -> Stade Toulousain (2023 - 2023) -> Blagnac (2024 - 2024) -> Stade Toulousain (2024 - 2026),A,0,https://all.rugby/player/benjamin-bertrand,,Stade Toulousain (2009 - 2023) -> Blagnac (2023 - 2023) -> Stade Toulousain (2023 - 2023) -> Blagnac (2024 - 2024) -> Stade Toulousain (2024 - 2026),,,https://all.rugby/player/benjamin-bertrand,Stade Toulousain (2009 - 2023) -> Blagnac (2023 - 2023) -> Stade Toulousain (2023 - 2023) -> Blagnac (2024 - 2024) -> Stade Toulousain (2024 - 2026)
Cyril BAILLE,Cyril BAILLE,PR,トゥールーズ,182,118,1993.09.15,,,,Cercle Amical Lannemezanais (2003 - 2009) -> Stade Toulousain (2009 - 2026),A,0,https://all.rugby/player/cyril-baille,,Cercle Amical Lannemezanais (2003 - 2009) -> Stade Toulousain (2009 - 2026),France,France,https://all.rugby/player/cyril-baille,Cercle Amical Lannemezanais (2003 - 2009) -> Stade Toulousain (2009 - 2026)
David AINU'U,David AINU'U,PR,トゥールーズ,178,125,1999.11.20,,,,Stade Toulousain (2017 - 2026),A,0,https://all.rugby/player/david-ainu-u,,Stade Toulousain (2017 - 2026),United-States,United-States,https://all.rugby/player/david-ainu-u,Stade Toulousain (2017 - 2026)
Dorian ALDEGHERI,Dorian ALDEGHERI,PR,トゥールーズ,180,119,1993.08.04,,,,Stade Toulousain (2004 - 2026),A,0,https://all.rugby/player/dorian-aldegheri,,Stade Toulousain (2004 - 2026),France,France,https://all.rugby/player/dorian-aldegheri,Stade Toulousain (2004 - 2026)
Georges-Henri COLOMBE,Georges-Henri COLOMBE,PR,トゥールーズ,193,142,1998.04.09,,,,Racing Nanterre Rugby (2008 - 2011) -> Racing 92 (2011 - 2017) -> USON Nevers Rugby (2017 - 2017) -> Racing 92 (2018 - 2018) -> USON Nevers Rugby (2018 - 2018) -> Racing 92 (2018 - 2022) -> Stade Rochelais (2022 - 2025) -> Stade Toulousain (2025 - 2026),A,0,https://all.rugby/player/georges-henri-colombe,,Racing Nanterre Rugby (2008 - 2011) -> Racing 92 (2011 - 2017) -> USON Nevers Rugby (2017 - 2017) -> Racing 92 (2018 - 2018) -> USON Nevers Rugby (2018 - 2018) -> Racing 92 (2018 - 2022) -> Stade Rochelais (2022 - 2025) -> Stade Toulousain (2025 - 2026),France,France,https://all.rugby/player/georges-henri-colombe,Racing Nanterre Rugby (2008 - 2011) -> Racing 92 (2011 - 2017) -> USON Nevers Rugby (2017 - 2017) -> Racing 92 (2018 - 2018) -> USON Nevers Rugby (2018 - 2018) -> Racing 92 (2018 - 2022) -> Stade Rochelais (2022 - 2025) -> Stade Toulousain (2025 - 2026)
Joël MERKLER,Joël MERKLER,PR,トゥールーズ,194,135,2001.10.25,,,,Stade Toulousain (2017 - 2026),A,0,https://all.rugby/player/joel-merkler,,Stade Toulousain (2017 - 2026),Spain,Spain,https://all.rugby/player/joel-merkler,Stade Toulousain (2017 - 2026)
Paul MALLEZ,Paul MALLEZ,PR,トゥールーズ,180,120,2001.01.24,,,,RC Pont-à-Mousson (2008 - 2018) -> ABCD XV (2018 - 2019) -> Stade Toulousain (2019 - 2023) -> Provence Rugby (2023 - 2023) -> Stade Toulousain (2024 - 2024) -> Provence Rugby (2024 - 2025) -> Stade Toulousain (2025 - 2026),A,0,https://all.rugby/player/paul-mallez,,RC Pont-à-Mousson (2008 - 2018) -> ABCD XV (2018 - 2019) -> Stade Toulousain (2019 - 2023) -> Provence Rugby (2023 - 2023) -> Stade Toulousain (2024 - 2024) -> Provence Rugby (2024 - 2025) -> Stade Toulousain (2025 - 2026),France,France,https://all.rugby/player/paul-mallez,RC Pont-à-Mousson (2008 - 2018) -> ABCD XV (2018 - 2019) -> Stade Toulousain (2019 - 2023) -> Provence Rugby (2023 - 2023) -> Stade Toulousain (2024 - 2024) -> Provence Rugby (2024 - 2025) -> Stade Toulousain (2025 - 2026)
Rodrigue NETI,Rodrigue NETI,PR,トゥールーズ,185,124,1995.04.26,,,,Union Rugby Club Dumbéa (2010 - 2012) -> Stade Toulousain (2012 - 2026),A,0,https://all.rugby/player/rodrigue-neti,,Union Rugby Club Dumbéa (2010 - 2012) -> Stade Toulousain (2012 - 2026),France,France,https://all.rugby/player/rodrigue-neti,Union Rugby Club Dumbéa (2010 - 2012) -> Stade Toulousain (2012 - 2026)
Guillaume CRAMONT,Guillaume CRAMONT,HO,トゥールーズ,182,107,2000.12.29,,,,US Dax Rugby Landes (2006 - 2019) -> Stade Toulousain (2019 - 2026),A,0,https://all.rugby/player/guillaume-cramont,,US Dax Rugby Landes (2006 - 2019) -> Stade Toulousain (2019 - 2026),France,France,https://all.rugby/player/guillaume-cramont,US Dax Rugby Landes (2006 - 2019) -> Stade Toulousain (2019 - 2026)
Julien MARCHAND,Julien MARCHAND,HO,トゥールーズ,181,110,1995.05.10,,,,US Montréjeau Gourdan Polignan XV (2005 - 2010) -> Stade Toulousain (2010 - 2026),A,0,https://all.rugby/player/julien-marchand,,US Montréjeau Gourdan Polignan XV (2005 - 2010) -> Stade Toulousain (2010 - 2026),France,France,https://all.rugby/player/julien-marchand,US Montréjeau Gourdan Polignan XV (2005 - 2010) -> Stade Toulousain (2010 - 2026)
Péato MAUVAKA,Péato MAUVAKA,HO,トゥールーズ,184,112,1997.01.10,,,,Stade Toulousain (2013 - 2026),A,0,https://all.rugby/player/peato-mauvaka,,Stade Toulousain (2013 - 2026),France,France,https://all.rugby/player/peato-mauvaka,Stade Toulousain (2013 - 2026)
