title,name_ja,name_en,position,height,weight,age,birth_date,birth_place_scraped,league,team,high_school,university,junior_high_school,rugby_school,caps,league_one_caps,scraped_url,category
五十嵐優,五十嵐優,---,---,172,102,---,1993-11-22,神奈川県茅ヶ崎市,top-east-a,AZ-COM丸和MOMOTARO'S,東海大相模高校,東海大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/5719/,top-east
東恩納寛太,東恩納寛太,---,---,178,118,---,1992-11-26,沖縄県名護市,top-east-a,AZ-COM丸和MOMOTARO'S,名護高校,帝京大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/5728/,top-east
金井健雄,金井健雄,---,---,175,110,---,1984-11-5,群馬県太田市,top-east-a,AZ-COM丸和MOMOTARO'S,太田高校,慶應義塾大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4847/,top-east
石水健太,石水健太,---,---,174,103,---,2001-7-18,埼玉県寄居町,top-east-a,AZ-COM丸和MOMOTARO'S,流通経済大学付属柏高校,流通経済大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4590/,top-east
奥原岳人,奥原岳人,---,---,180,110,---,2002-3-2,埼玉県蕨市,top-east-a,AZ-COM丸和MOMOTARO'S,大東文化大学第一高等学校,大東文化大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4598/,top-east
テビタポレオ,テビタポレオ,---,---,180,120,---,2001-3-16,トンガ,top-east-a,AZ-COM丸和MOMOTARO'S,日本航空石川高校,京都産業大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4611/,top-east
尾関海斗,尾関海斗,---,---,183,130,---,2001-3-14,愛知県名古屋市,top-east-a,AZ-COM丸和MOMOTARO'S,愛知県立豊田工業高校,愛知学院大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3701/,top-east
神田剛,神田剛,---,---,175,110,---,2000-6-4,埼玉県川越市,top-east-a,AZ-COM丸和MOMOTARO'S,流通経済大学付属柏高校校,流通経済大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3699/,top-east
釜谷慎司,釜谷慎司,---,---,160,95,---,2000-6-14,埼玉県吉川市,top-east-a,AZ-COM丸和MOMOTARO'S,昌平高校,拓殖大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3697/,top-east
倉掛湧生,倉掛湧生,---,---,170,105,---,1995-6-24,福岡県福岡市,top-east-a,AZ-COM丸和MOMOTARO'S,筑紫高校,明治学院大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/568/,top-east
浅野太一,浅野太一,---,---,168,95,---,1994-1-8,福岡県春日市,top-east-a,AZ-COM丸和MOMOTARO'S,福岡工業大学付属城東高校,福岡工業大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/552/,top-east
尾白大吉,尾白大吉,---,---,176,110,---,2001-4-14,和歌山県和歌山市,top-east-a,AZ-COM丸和MOMOTARO'S,近畿大学附属和歌山高校,明治大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/5304/,top-east
竹下優作,竹下優作,---,---,170,103,---,2002-11-28,佐賀県佐賀市,top-east-a,AZ-COM丸和MOMOTARO'S,佐賀工業高等学校,関東学院大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/5300/,top-east
木津武士,木津武士,---,---,183,115,---,1988-7-15,大阪府東大阪市,top-east-a,AZ-COM丸和MOMOTARO'S,東海大仰星高校,東海大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4852/,top-east
松田大空,松田大空,---,---,178,97,---,2001-2-2,新潟県燕市,top-east-a,AZ-COM丸和MOMOTARO'S,新潟工業高校,日本体育大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3702/,top-east
藤山裕太朗,藤山裕太朗,---,---,176,99,---,1995-10-30,大阪府東大阪市,top-east-a,AZ-COM丸和MOMOTARO'S,大分舞鶴高校,東海大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/2318/,top-east
ウィルタッカー,ウィルタッカー,---,---,203,120,---,1998-3-16,"Christchurch, New Zealand",top-east-a,AZ-COM丸和MOMOTARO'S,,Canterbury University,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/5712/,top-east
新屋快,新屋快,---,---,196,116,---,2001-8-12,大阪府門真市,top-east-a,AZ-COM丸和MOMOTARO'S,大阪桐蔭高等学校,大東文化大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4602/,top-east
和田武将,和田武将,---,---,186,114,---,2001-8-23,愛媛県松山市,top-east-a,AZ-COM丸和MOMOTARO'S,松山工業高校,愛知学院大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4579/,top-east
タモウアシアレパウラ,タモウアシアレパウラ,---,---,185,115,---,1999-5-10,"Tofoa, Tonga",top-east-a,AZ-COM丸和MOMOTARO'S,Tonga High School,大東文化大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3708/,top-east
林俊輔,林俊輔,---,---,182,93,---,2000-4-20,長野県飯田市,top-east-a,AZ-COM丸和MOMOTARO'S,天理高校,中京大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3705/,top-east
三宅紀仁,三宅紀仁,---,---,182,80,---,2005-2-1,愛知県豊田市,top-east-a,AZ-COM丸和MOMOTARO'S,,流通経済大学付属柏高等学校,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/3712/,top-east
白川総哲,白川総哲,---,---,181,105,---,1994-1-16,京都府京都市,top-east-a,AZ-COM丸和MOMOTARO'S,京都成章高校,東海大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/532/,top-east
