Full_Name,Position,Age,Height,Weight,University,Team,League,Category,Scraped_Url
江島大樹,PR,30,178,105,福工大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
若林良樹,PR,26,173,100,福大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
藤田大貴,PR,22,165,90,佐賀工,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
友枝大智,PR,33,185,118,法政大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
瀧本亮太朗,PR,22,167,95,日本文理大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
田守凌大,PR,22,172,107,大手門学院大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
坂狩錬,HO,27,170,95,九共大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
隈本浩太,HO,35,172,103,志學館大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
下條裕太,HO,35,170,90,関西学大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
岩﨑亮裕,LO,30,185,98,大体大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
西井利宏,LO,33,185,110,関西大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
安田颯,LO,22,183,85,國學院大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
西川中,FL,28,182,97,流経大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
吉田将峰,FL,25,175,85,九共大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
鶴岡怜志,FL,34,180,95,流経大,日本製鉄九州八幡,top-kyushu,top-kyushu,https://www.rugby-kyushu.jp/kyushuleague/2025-2026/topkyushu/topteam/nipponsteel.html
