name_ja,name_en,position,age,height,weight,university,team,league,category,url
内田 康介,,PR,,176,104,筑波大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
安藤 良太,,HO,,178,98,東海大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
池上 玲央,,FL,,173,83,帝京大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
佐藤 健斗,,FL,,178,86,中部大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
長江 有祐,,PR,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
本間 優,,PR,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
辻 龍哉,,PR,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
六車 高寧,,PR,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
真山 文一,,PR,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
鈴木 天良,,PR,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
紀伊 遼平,,HO,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
三枝 優介,,LO,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
長田 拓真,,LO,,,,,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
西川 敢太,,SH,,,,京都産業大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
松山 将輝,,SH,,,,近畿大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
津田 貫汰,,SO,,,,中央大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
笠原 浩史,,SO,,,,同志社大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
藤本 凌聖,,CTB,,,,京都産業大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
井上 正規,,CTB,,,,福岡大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
棚橋 優大,,CTB,,,,天理大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
小椋 統平,,CTB,,,,明治大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
神田 永遠,,CTB,,,,大東文化大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
鶴田 桂樹,,WTB,,,,同志社大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
