name_ja,name_en,position,age,height,weight,university,team,league,category,url
成宮 銀次郎,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
小山 康太,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
植松 海翔,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
南 優多,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
岡田 澄空,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
亀田 聖,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
大野 雄太,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
毛利 虎之介,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
大西 康平,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
馬場 大樹,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
丸山 泰史,,FW,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
城戸 慎平,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
横尾 瑛,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
島津 雄斗,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
中村 優太,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
久保 元臣,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
冨山 拓朗,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
水谷 哲至,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
松本 将希,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
高田 清太郎,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
押海 雄人,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
山﨑 海生,,BK,,,,,リコージャパンBLACK AEGIS,top-west-b,top-west-b,https://rj-rugby.jp/
石井 祐次郎,,LO,,,,,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
坂本 修司,,CTB,,,,,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
大崎 恩慶,,PR,,,,,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
藤原 健照,,PR,,,,,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
富山 尚,,PR/HO,,,,,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
松下 秀斗,,PR,,,,九州共立大学,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
渡邊 敬太,,PR,,,,立命館大学,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
森元 康平,,HO,,,,甲南大学,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
大間 歩,,,,,,,三菱自動車倉敷キングフィッシャーズ,top-west-b,top-west-b,https://www.mitsubishi-motors.com/jp/innovation/sports/rugby/kurashiki/
谷村 竜輝,,,18,173,100,東山高校,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
木屋 暁貴,,,28,185,105,摂南大学,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
センダナキム,,,19,174,113,八幡工業高校,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
森田 圭亮,,,30,180,90,龍谷大学,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
長縄 天翼,,,21,169,93,関商工高校,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
山本 一歩,,,19,160,60,創志学園高校,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
長井 一史,,,33,168,80,同志社大学,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
大村 亮介,,,22,176,85,京都産業大学,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
大崎 旭彦,,WTB/FB,,,,,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
岩永 典晃,,LO,,,,,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
清見 将之,,SH,,,,,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
市原 淳平,,CTB,,,,,三菱自動車京都レッドエボリューションズ,top-west-b,top-west-b,http://mitsubishi-kyoto-rugby.1web.jp/
今里 慧,,CTB,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
津田 剛希,,CTB,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
髙橋 雄太郎,,CTB,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
野村 成,,CTB,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
岩井 亮介,,SH,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
黒谷 淳,,SH,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
垣本 大誠,,SH,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
小嶋 遼平,,No.8,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
古橋 啓太,,No.8,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
高井 杏輔,,No.8,,,,,きんでんトライデントブリッツ,top-west-b,top-west-b,https://www.kinden-sports.jp/rugby/
西原 康平,,PR,,,,,日本新薬OWLSTARS,top-west-c,top-west-c,https://www.nippon-shinyaku.co.jp/owlstars/
高木 佳也,,HO,,,,,日本新薬OWLSTARS,top-west-c,top-west-c,https://www.nippon-shinyaku.co.jp/owlstars/
平野 佑馬,,LO,,,,,日本新薬OWLSTARS,top-west-c,top-west-c,https://www.nippon-shinyaku.co.jp/owlstars/
中島 勇輝,,FL,,,,,日本新薬OWLSTARS,top-west-c,top-west-c,https://www.nippon-shinyaku.co.jp/owlstars/
