英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,URL,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Fin RICHARDSON,Fin RICHARDSON,PR,Glasgow,183,124,1998.09.16,,,,,A,https://all.rugby/player/finlay-richardson,Exeter University RFC (2021 - 2022) -> Exeter Chiefs (2022 - 2023) -> Cornish Pirates (2023 - 2023) -> Exeter Chiefs (2024 - 2024) -> Cornish Pirates (2024 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/finlay-richardson,Exeter University RFC (2021 - 2022) -> Exeter Chiefs (2022 - 2023) -> Cornish Pirates (2023 - 2023) -> Exeter Chiefs (2024 - 2024) -> Cornish Pirates (2024 - 2024) -> Glasgow Warriors (2024 - 2026)
Jamie BHATTI,Jamie BHATTI,PR,Glasgow,185,125,1993.09.08,,,,,A,https://all.rugby/player/jamie-bhatti,Glasgow Warriors (2016 - 2019) -> Edimbourg Rugby (2019 - 2020) -> Bath Rugby (2020 - 2020) -> Edimbourg Rugby (2021 - 2021) -> Bath Rugby (2021 - 2021) -> Glasgow Warriors (2021 - 2026),Scotland,Scotland,https://all.rugby/player/jamie-bhatti,Glasgow Warriors (2016 - 2019) -> Edimbourg Rugby (2019 - 2020) -> Bath Rugby (2020 - 2020) -> Edimbourg Rugby (2021 - 2021) -> Bath Rugby (2021 - 2021) -> Glasgow Warriors (2021 - 2026)
Murphy WALKER,Murphy WALKER,PR,Glasgow,185,110,1999.10.25,,,,,A,https://all.rugby/player/murphy-walker,Glasgow Warriors (2018 - 2026),,,https://all.rugby/player/murphy-walker,Glasgow Warriors (2018 - 2026)
Nathan MCBETH,Nathan MCBETH,PR,Glasgow,189,120,1998.06.08,,,,,A,https://all.rugby/player/nathan-mcbeth,Lions Rugby (2018 - 2020) -> Golden Lions (2020 - 2020) -> Lions Rugby (2021 - 2021) -> Golden Lions (2021 - 2021) -> Glasgow Warriors (2021 - 2026),,,https://all.rugby/player/nathan-mcbeth,Lions Rugby (2018 - 2020) -> Golden Lions (2020 - 2020) -> Lions Rugby (2021 - 2021) -> Golden Lions (2021 - 2021) -> Glasgow Warriors (2021 - 2026)
Patrick SCHICKERLING,Patrick SCHICKERLING,PR,Glasgow,182,120,1998.10.16,,,,,A,https://all.rugby/player/patrick-schickerling,Exeter Chiefs (2019 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/patrick-schickerling,Exeter Chiefs (2019 - 2024) -> Glasgow Warriors (2024 - 2026)
Rory SUTHERLAND,Rory SUTHERLAND,PR,Glasgow,183,116,1992.08.24,,,,,A,https://all.rugby/player/rory-sutherland,Edimbourg Rugby (2014 - 2021) -> Worcester Warriors (2021 - 2022) -> Ulster Rugby (2022 - 2022) -> Worcester Warriors (2023 - 2023) -> Ulster Rugby (2023 - 2023) -> Oyonnax Rugby (2023 - 2024) -> Glasgow Warriors (2024 - 2026),Scotland,Scotland,https://all.rugby/player/rory-sutherland,Edimbourg Rugby (2014 - 2021) -> Worcester Warriors (2021 - 2022) -> Ulster Rugby (2022 - 2022) -> Worcester Warriors (2023 - 2023) -> Ulster Rugby (2023 - 2023) -> Oyonnax Rugby (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Sam TALAKAI,Sam TALAKAI,PR,Glasgow,183,122,1991.09.04,,,,,A,https://all.rugby/player/sam-talakai,Queensland Reds (2014 - 2017) -> Melbourne Rebels (2017 - 2019) -> Tokyo Sungoliath (2019 - 2022) -> Melbourne Rebels (2022 - 2024) -> Glasgow Warriors (2024 - 2026),Australia,Australia,https://all.rugby/player/sam-talakai,Queensland Reds (2014 - 2017) -> Melbourne Rebels (2017 - 2019) -> Tokyo Sungoliath (2019 - 2022) -> Melbourne Rebels (2022 - 2024) -> Glasgow Warriors (2024 - 2026)
Zander FAGERSON,Zander FAGERSON,PR,Glasgow,188,126,1996.01.19,,,,,A,https://all.rugby/player/zander-fagerson,Glasgow Warriors (2014 - 2026),Scotland,Scotland,https://all.rugby/player/zander-fagerson,Glasgow Warriors (2014 - 2026)
Angus FRASER,Angus FRASER,HO,Glasgow,181,110,1999.12.09,,,,,A,https://all.rugby/player/angus-fraser,Glasgow Warriors (2021 - 2026),,,https://all.rugby/player/angus-fraser,Glasgow Warriors (2021 - 2026)
Grant STEWART,Grant STEWART,HO,Glasgow,182,113,1995.02.28,,,,,A,https://all.rugby/player/grant-stewart,Glasgow Warriors (2017 - 2022) -> Connacht Rugby (2022 - 2023) -> Ayr RFC (2023 - 2023) -> Glasgow Warriors (2023 - 2023) -> Ayr RFC (2024 - 2024) -> Glasgow Warriors (2024 - 2026),Scotland,Scotland,https://all.rugby/player/grant-stewart,Glasgow Warriors (2017 - 2022) -> Connacht Rugby (2022 - 2023) -> Ayr RFC (2023 - 2023) -> Glasgow Warriors (2023 - 2023) -> Ayr RFC (2024 - 2024) -> Glasgow Warriors (2024 - 2026)
Gregor HIDDLESTON,Gregor HIDDLESTON,HO,Glasgow,187,120,2002.03.26,,,,,A,https://all.rugby/player/gregor-hiddleston,Glasgow Hutchesons Aloysians RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,https://all.rugby/player/gregor-hiddleston,Glasgow Hutchesons Aloysians RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
Joe ROBERTS,Joe ROBERTS,HO,Glasgow,187,106,2006..,,,,,A,https://all.rugby/player/joe-roberts-,Robert Gordon’s College (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/joe-roberts-,Robert Gordon’s College (2024 - 2025) -> Glasgow Warriors (2025 - 2026)
Johnny MATTHEWS,Johnny MATTHEWS,HO,Glasgow,183,110,1993.07.05,,,,,A,https://all.rugby/player/johnny-matthews,Glasgow Warriors (2019 - 2026),,,https://all.rugby/player/johnny-matthews,Glasgow Warriors (2019 - 2026)
Tavi TUIPULOTU,Tavi TUIPULOTU,HO,Glasgow,181,110,2004.03.07,,,,,A,https://all.rugby/player/ottavio-tuipulotu,Melbourne Rebels (2023 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/ottavio-tuipulotu,Melbourne Rebels (2023 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Glasgow Warriors (2025 - 2026)
Alex CRAIG,Alex CRAIG,LO,Glasgow,198,119,1997.04.26,,,,,A,https://all.rugby/player/alex-craig,Gloucester Rugby (2018 - 2023) -> Scarlets (2023 - 2025) -> Glasgow Warriors (2025 - 2026),Scotland,Scotland,https://all.rugby/player/alex-craig,Gloucester Rugby (2018 - 2023) -> Scarlets (2023 - 2025) -> Glasgow Warriors (2025 - 2026)
Alex SAMUEL,Alex SAMUEL,LO,Glasgow,206,124,2002.12.27,,,,,A,https://all.rugby/player/alex-samuel,Glasgow Warriors (2020 - 2026),Scotland,Scotland,https://all.rugby/player/alex-samuel,Glasgow Warriors (2020 - 2026)
Euan FERRIE,Euan FERRIE,LO,Glasgow,194,110,2001.07.23,,,,,A,https://all.rugby/player/euan-ferrie,Glasgow Hawks (2020 - 2021) -> Boroughmuir RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,https://all.rugby/player/euan-ferrie,Glasgow Hawks (2020 - 2021) -> Boroughmuir RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
Gregor BROWN,Gregor BROWN,LO,Glasgow,196,109,2001.07.01,,,,,A,https://all.rugby/player/gregor-brown,Glasgow Warriors (2020 - 2026),Scotland,Scotland,https://all.rugby/player/gregor-brown,Glasgow Warriors (2020 - 2026)
Max WILLIAMSON,Max WILLIAMSON,LO,Glasgow,200,120,2002.08.05,,,,,A,https://all.rugby/player/max-williamson,Glasgow Warriors (2020 - 2022) -> Doncaster Knights (2022 - 2022) -> Glasgow Warriors (2023 - 2023) -> Doncaster Knights (2023 - 2023) -> Glasgow Warriors (2023 - 2026),Scotland,Scotland,https://all.rugby/player/max-williamson,Glasgow Warriors (2020 - 2022) -> Doncaster Knights (2022 - 2022) -> Glasgow Warriors (2023 - 2023) -> Doncaster Knights (2023 - 2023) -> Glasgow Warriors (2023 - 2026)
