選手名,所属チーム,ポジション,身長,体重,生年月日,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
クリスチャン ・リアリーファノ,豊田自動織機シャトルズ愛知（2025-26）,SO,179,92,1987.09.24,https://league-one.jp/player/486434,,,オーストラリア代表,26,サモア代表,7
リアム ・ギル,リコーブラックラムズ東京（2025-26）,FL,186,105,1992.06.08,https://league-one.jp/player/484867,,,オーストラリア代表,15,,
パディー ・ライアン,リコーブラックラムズ東京（2025-26）,PR,190,116,1988.08.09,https://league-one.jp/player/484868,,,オーストラリア代表,3,,
ローリー・アーノルド,NECグリーンロケッツ東葛（2025-26）,LO,208,120,1990.07.01,https://league-one.jp/player/483535,,,オーストラリア代表,32,,
ニック ・フィップス,NECグリーンロケッツ東葛（2025-26）,SH,180,88,1989.01.09,https://league-one.jp/player/483569,,,オーストラリア代表,72,,
イズラエル ・フォラウ,浦安D-Rocks（2025-26）,FB,194,103,1989.04.03,https://league-one.jp/player/483507,,,オーストラリア代表,73,トンガ代表,1
サム ・ケレビ,浦安D-Rocks（2025-26）,CTB,186,106,1993.09.27,https://league-one.jp/player/483519,,,オーストラリア代表,50,,
マリカ・コロインベテ,埼玉パナソニックワイルドナイツ（2025-26）,WTB,182,96,1992.07.26,https://league-one.jp/player/484047,,,オーストラリア代表,59,,
バーナード ・フォーリー,クボタスピアーズ船橋・東京ベイ（2025-26）,SO,182,89,1989.09.08,https://league-one.jp/player/483761,,,オーストラリア代表,76,,
ショーン ・マクマーン,東京サントリーサンゴリアス（2025-26）,No8,186,99,1994.06.18,https://league-one.jp/player/484308,,,オーストラリア代表,27,,
